ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-2169,1213,XIII,Toledo,s.l.,unoquoque anno teneatur persolvere quinquaginta morabetinos XXV morabetinos in die sancti Martini et alios XXV morabetinos in die pasche. Et,cognoscidament,le arrendo todas las heredades fasto V años que a cabo de V años que delexe todas mis heredades así,–ment,eclesiástico,39.85678,-4.024476
CODEA-0974,1225,XIII,Huesca,s.l.,racioneros que provean al vicario de Santa María. E qu'el abat e los racioneros pongan sendos homes jurados cad'año qui,fielment,e éntegrament cuilgan los décimos de la dita villa e que l'omne del abat tenga la una clau e el,–ment,eclesiástico,42.1401,-0.408898
CODEA-0974,1225,XIII,Huesca,s.l.,villa de Funes e la otra meatad que sea del Abat. E de milloría otorgamos que los ditos racioneros ayan,éntegrament,toda la décima de favas e de todas las otras legúmines con la décima de lino e de cáñamo de,–ment,eclesiástico,42.1401,-0.408898
CODEA-0974,1225,XIII,Huesca,s.l.,"logar con la décima de las carnes ço es a saber, de corderos e de cabritos, e toda la décima",éntegrament,"de casa nueva sacando el coarto del obispo, e toda la décima que se plega en Marziella, que deve responder",–ment,eclesiástico,42.1401,-0.408898
CODEA-0974,1225,XIII,Huesca,s.l.,provean al vicario de Santa María. E qu'el abat e los racioneros pongan sendos homes jurados cad'año qui fielment e,éntegrament,cuilgan los décimos de la dita villa e que l'omne del abat tenga la una clau e el homne de,–ment,eclesiástico,42.1401,-0.408898
CODEA-1223,1227,XIII,Teruel,s.l.,"tot omne bivo faze fago mi destín e mi mandamiento, assí como a mí conviene de fazer e establido es.",Primerament,quiero e mando que si de mí deviniere de muert en esta carrera que yo fago la cual cosa es,–ment,particular,40.34411,-1.10691
CODEA-1223,1227,XIII,Teruel,s.l.,"que aquellas convenencias que yo fiz a don Nuño Sancii Pérez frere Roderici, filius de domna Elfa, que·l sean tenidas",lealment,"e firmemientre curiadas estis nul entredicho aduciendo delant bivo e sano frere Roderici, filio meo e de domna Elfa, assí",–ment,particular,40.34411,-1.10691
CODEA-1223,1227,XIII,Teruel,s.l.,"Pero Ferrer de Açaga et basallus de Santa María e señor de Albarrazín, estando bivo, e sano, e alegre, e",plenerament,"in mea memoria e andando sobre mis piedes assí como tot omne bivo faze, fago mi destín e mi mandamiento,",–ment,particular,40.34411,-1.10691
CODEA-0438,1235,XIII,Asturias,s.l.,"entre mias hermanas e esta terra iaz entre Ondes e Sant Martino, e por esta terra que non podemos dar",éntregament,al monesterio por fillos de Gonzalvo Pélaz de Lamoso e fillos de María Rodríguiz que non quisieront atempar connusco nós,–ment,eclesiástico,43.36026,-5.844759
CODEA-0470,1253,XIII,Asturias,s.l.,Jo Alfonso Pédriz,ajuntadament,"con mias ermanas Aldonza Pédriz e Gontro Pédriz e mias cuormanas María Andrés e Gontro Andrés, fazemos carta de vendición",–ment,eclesiástico,43.36026,-5.844759
CODEA-0829,1257,XIII,Zaragoza,Calatayud,e entendida plenerament la letra del señor rey e cobdiciantes siempre obedir a los sus mandamientos así como devemos fuemos,personalment,a los ditos lugares. E en lo primero fuemos a Nuévalos e prisiemos bonos omnes del pueblo de Nuévalos e,–ment,municipal,41.3531678,-1.6468455
CODEA-0829,1257,XIII,Zaragoza,Calatayud,"forma: E nós don Fernando don Corbarán, justicia de Calatayut, don Martín Sobrino e don Roy Grimalt, recebida e entendida",plenerament,la letra del señor rey e cobdiciantes siempre obedir a los sus mandamientos así como devemos fuemos personalment a los,–ment,municipal,41.3531678,-1.6468455
CODEA-0979,1265,XIII,Navarra,Pamplona,bispado en virtud de obediencia e deius pena d'escomulgamiento que coando acayecieren a los devantditos cuestores que vós los recebades,benignament,en vuestras eglesias e en vuestros logares e que fagades aplegar el pueblo cuando ellos verrán a las vuestras eglesias,–ment,eclesiástico,42.812526,-1.6457745
CODEA-0979,1265,XIII,Navarra,Pamplona,rectores e a todos los capellanos que cuando acayecieren en vuestros logares que lis dedes posadas e que los recibades,benignament,assí que por el bien ni la mercé que vosotros a ellos faredes podades ganar la gloria de paraíso e,–ment,eclesiástico,42.812526,-1.6457745
CODEA-0979,1265,XIII,Navarra,Pamplona,"perdones otro tal assí como an mandamiento de nós, la coal cosa mucho pesa a nós porque aquella cosa amamos",especialment,sobre todas las otras e vós otros la devedes amar. Ont vos mandamos a vós los abades e a los,–ment,eclesiástico,42.812526,-1.6457745
CODEA-0873,1268,XIII,Huesca,Jaca,"vuestra vezinos de la ciudat de Jaca, e a dos personas empués vós, fillos o nietos vuestros, una empués otra",sucesivament,"a qui lexarla queredes una viña del dito monesterio sitiada a la fuant de las vals, que afruentan con viña",–ment,eclesiástico,42.5717165,-0.5470553
CODEA-1494,1272,XIII,Navarra,Estella,de don Gil Pelavilán e de dona María Sanz seent en ma salut e en ma memoria e en mon,acordament,"doy a Dios e a la orden e a dona Toda Martínez priora, e a tot lo convent de Sant",–ment,eclesiástico,42.6720856,-2.0324524
