ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0405,1162,XII,La Rioja,s.l.,con montes e con aguas e con cuanto ý é del cielo a la tierra para vestiario; e ninguno que,gelo,contrariare que sea maldicho con Judas el traidor dentro en los infiernos. E yo don Nuño Gonçález otorgo e confirmo,gelo,particular,42.46577,-2.449995
CODEA-2167,1221,XIII,Toledo,Toledo,fazer mio aniversario cad'año en su casa después de mi fin. E todo esto que es conombrado en esta carta,"dógelo,","e esco·m d'ello de oy adelant e apodero·l e meto·l en ello, que sea aver de sus averes, por dar",gelo,particular,39.8628316,-4.0273231
CODEA-2167,1221,XIII,Toledo,Toledo,"yo é ý es la meetad de dos molinos e la meetad del río, e la meetad del azuda, e",dógelas,"con todas sus derechuras con entradas e con exidas e con cuanto·l pertenece en río e fuera de río, e",gelo,particular,39.8628316,-4.0273231
CODEA-0235,1223,XIII,Palencia,s.l.,"casa de Santa Ovenia e esto foi querellado al rey don Alfonso, e dixo el rey que la igleia nin",gela,dava nin gela otorgava mas que'l diera la villa con sos fueros; e la igleia foi querellada al obispo don,gelo,eclesiástico,42.01246,-4.531175
CODEA-0235,1223,XIII,Palencia,s.l.,"Ovenia e esto foi querellado al rey don Alfonso, e dixo el rey que la igleia nin gela dava nin",gela,otorgava mas que'l diera la villa con sos fueros; e la igleia foi querellada al obispo don Marín de Burgos,gelo,eclesiástico,42.01246,-4.531175
CODEA-0159,1229,XIII,Álava,s.l.,"don Lop Díaz fizo entr'ellos pidieron merced amas las partes a mí rey don Ferrando, que gela confirme e que",gela,"otorgue con mi carta. E yo don Ferrando por la gracia de Dios rey de Castiella e de Toledo, por",gelo,cancilleresco,42.846411,-2.667893
CODEA-0159,1229,XIII,Álava,s.l.,"E d'esta abenencia que don Lop Díaz fizo entr'ellos pidieron merced amas las partes a mí rey don Ferrando, que",gela,confirme e que gela otorgue con mi carta. E yo don Ferrando por la gracia de Dios rey de Castiella,gelo,cancilleresco,42.846411,-2.667893
CODEA-0451,1233,XIII,Palencia,s.l.,avemos. En tod'esto·l damos e atorgamos la meetad e en el préstamo de San Felizes assí cuemo es aforado damos,gelo,"assí cuemo es ya dicto que lo aya por heredat por siempre en vida e en morte, e que d'aquí",gelo,particular,42.01246,-4.531175
CODEA-0451,1233,XIII,Palencia,s.l.,yo pueda fazer que non me lo pueda dar nin quitar nin yo nin otro alguno de mios parientes non,gelo,podamos demandar nin por fuero de rey nin por fuero escrito; e si yo o alguno otro de nuestros o,gelo,particular,42.01246,-4.531175
CODEA-2175,1237,XIII,Toledo,s.l.,Mando a mio señor el arzobispo don Rodrigo el mio baso de plata e un potro que él me mandó,quítogelo.,"Mando a mio sobrino Pero Roíz mios libros el antifanar e el oficero e el missalejo e el salterio, con",gelo,eclesiástico,39.85678,-4.024476
CODEA-2174,1237,XIII,Toledo,s.l.,"no·l demande nada. E Gutier Pérez de Fitero que me acomenda II varas e media d'Estanfort e unas brafoneras, que",gelo,den. E libros que ay de gramática que los den a escolares pobres. E un libro santural que tien don,gelo,eclesiástico,39.85678,-4.024476
CODEA-1207,1238,XIII,Sevilla,Sevilla,e toda la orden de Calatrava que tengades sos fueros derechamientre a los moros de esta alcaría sobredicha assí como,gelos,yo tenía. E esta carta de esta mi donación sea siempre firme e estable e ninguno non sea osado de,gelo,cancilleresco,37.3890924,-5.9844588
CODEA-0421,1244,XIII,León,s.l.,morabedís a estos plazos e non yelos dieren todas las costas e las missiones que fizier él sea creído e,dárgelas;,e cuando don Joán el clérigo vinier al monesterio que sea recebido bien e darle ración como a un monje.,gelo,eclesiástico,42.59988,-5.571752
CODEA-0257,1249,XIII,Palencia,s.l.,como jelo solían montatgar; e el abbat dixo escontra esto que so ganado siempre paciera en aquel logar e nunca,gelo,montatgaran nin gelo encorralara ningunu nunca gana<do> del monesterio de Aguilar que non paciesse allí. E sobre aquesto yo abbat,gelo,eclesiástico,42.01246,-4.531175
CODEA-0257,1249,XIII,Palencia,s.l.,María de Aguilar pacer por toda la Lora e por tod el término de Sagentes e nunca los contrariaran nin,gelos,"montatgaran; de Rebollar don Ivañes, e Yuan Pérez, e don Yagüe, vasallos del rey, juraron e dixieron esso mismo que",gelo,eclesiástico,42.01246,-4.531175
CODEA-0257,1249,XIII,Palencia,s.l.,montatgar; e el abbat dixo escontra esto que so ganado siempre paciera en aquel logar e nunca gelo montatgaran nin,gelo,encorralara ningunu nunca gana<do> del monesterio de Aguilar que non paciesse allí. E sobre aquesto yo abbat de Sanct Pedro,gelo,eclesiástico,42.01246,-4.531175
CODEA-0257,1249,XIII,Palencia,s.l.,nós amos fiziésemos esta pesquisa e sopiéssemos en la verdat cómo pacieran los ganados del abbat de Aguilar o cómo,gelos,"despojaran o cómo gelos montatgaran los de Sagentes. Alfonso Pérez de Arniellas, sobre su jura dixo que es vezino d'aquel",gelo,eclesiástico,42.01246,-4.531175
CODEA-0257,1249,XIII,Palencia,s.l.,pesquisa e sopiéssemos en la verdat cómo pacieran los ganados del abbat de Aguilar o cómo gelos despojaran o cómo,gelos,"montatgaran los de Sagentes. Alfonso Pérez de Arniellas, sobre su jura dixo que es vezino d'aquel logar que él vira",gelo,eclesiástico,42.01246,-4.531175
CODEA-1204,1250,XIII,Sevilla,Sevilla,don Pelay Correa de vós el concejo de Cuenca que dizié que non le queriedes dar los almudes assí como,gelos,soliedes dar en tiempo de mio avuelo que vino el maestro de Uclés don Pelay Correa por sí e por,gelo,cancilleresco,37.3890924,-5.9844588
CODEA-1204,1250,XIII,Sevilla,Sevilla,por vuestro privilegio seellado. Ond vos mando firmemientre que les dedes los almudes a la orden assí como nunca mejor,gelos,diestes en tiempo de mio avuelo e en el mío fata agora de <…> sazón <…>. E non fagades ende,gelo,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,a su muerte assí como gelos yo prometí e gelos otorgué cuando fui rey de Castiella que gelo ternía e,gelos,"guardaría ante mi madre e ante mios ricos omnes, e ant'el arçobispo, e ante los obispos, e ante caveros de",gelo,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,dar nin de tomar calças por casar so parienta ca el que las tomasse pechar las ié dupladas al que,gelas,"diesse e pecharié cincuenta morabedís en coto, los veinte a mí, e los diez a los jurados, e los diez",gelo,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,mí por pro de vuestro concejo que trayan cada cavero tres tres bestias e non más. E estas bestias que,gelas,aprecien dos jurados e dos alcaldes cuales el concejo escogiere por esto cada una cuanto vale cuando fazen la muebda,gelo,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,mio avuelo e a su muerte assí como gelos yo prometí e gelos otorgué cuando fui rey de Castiella que,gelo,"ternía e gelos guardaría ante mi madre e ante mios ricos omnes, e ant'el arçobispo, e ante los obispos, e",gelo,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,que ovieran en tiempo del rey don Alfonso mio avuelo e a su muerte assí como gelos yo prometí e,gelos,"otorgué cuando fui rey de Castiella que gelo ternía e gelos guardaría ante mi madre e ante mios ricos omnes,",gelo,cancilleresco,37.3890924,-5.9844588
