ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0405,1162,XII,La Rioja,s.l.,Conoscuda cosa sea a todos los omnes que,esta,"carta vieren a los que son agora e a los que son por venir, cómo yo la condessa doña Urraca",Formas breves,particular,42.46577,-2.449995
CODEA-0405,1162,XII,La Rioja,s.l.,condessa da al convento de Cañas. E por que este fecho sea firme e estable pongo el mio seello en,esta,carta por testimonio por que ninguno non sea atrevudo de ir contra este fecho. D'este fecho son testigos: don Alfonso,Formas breves,particular,42.46577,-2.449995
CODEA-0405,1162,XII,La Rioja,s.l.,contrariare que sea maldicho con Judas el traidor dentro en los infiernos. E yo don Nuño Gonçález otorgo e confirmo,este,donadío que la condessa da al convento de Cañas. E por que este fecho sea firme e estable pongo el,Formas breves,particular,42.46577,-2.449995
CODEA-0405,1162,XII,La Rioja,s.l.,yo don Nuño Gonçález otorgo e confirmo este donadío que la condessa da al convento de Cañas. E por que,este,fecho sea firme e estable pongo el mio seello en esta carta por testimonio por que ninguno non sea atrevudo,Formas breves,particular,42.46577,-2.449995
CODEA-0405,1162,XII,La Rioja,s.l.,e estable pongo el mio seello en esta carta por testimonio por que ninguno non sea atrevudo de ir contra,este,"fecho. D'este fecho son testigos: don Alfonso López e don Joán Alfonso so fijo; e don Sant Garcíez de Salcedo,",Formas breves,particular,42.46577,-2.449995
CODEA-0207,1174,XII,Palencia,s.l.,no podieren servir las eclesias e fijos oviere ý de la eclesia sirvan las eclesias e tomen todo. E sobre,esto,cumpliendo los fijos de las eclesias e los fraires ningún omne non aya poder de meter capellano de fora. Domínico,Formas breves,eclesiástico,42.01246,-4.531175
CODEA-0208,1185,XII,Palencia,s.l.,Menaza I solar con toda su heredad e la heredad de Pozacos e de Menaza fasta en Soma Concha. En,estos,logares dichos cuanto nós heredamos e devemos heredar vendemos e robramos ad vós abad don Andrés e al convento de,Formas breves,eclesiástico,42.01246,-4.531175
CODEA-0209,1186,XII,Palencia,s.l.,Conia cuanto nós devemos heredar. Vendemos e robramos toda questa heredad por C e sesaenta moravedís e si algún ombre,esta,carta quisiere crebantar con Judas traditor aya part e en coto regi mil moravedís pectet e tal heredat e en,Formas breves,eclesiástico,42.01246,-4.531175
CODEA-2171,1199,XII,Toledo,s.l.,In Dei nomine. Esta,est,carta del plecto et de la convenencia que faze Micael Ferrero per sí et per suos aparceros con Joán Pétriz,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,In Dei nomine.,Esta,est carta del plecto et de la convenencia que faze Micael Ferrero per sí et per suos aparceros con Joán,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,carta in mense ianuario era Mª CCª XXXª VIIª. Sunt testes qui presentes fuerunt e hoc viderunt e audierunt otorgar,esta,carta en la ecclesia de Sant Martín in Escalona a Micael Fabero e a Joán Pétriz de Sola Mertiras e,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,Petriz de Sola Mertiras e suos aparceros maes dicebat cabo adelante que aun mal le fazién las acenias. E super,esto,"interrogavit don Dídaco iudex Toleti, por vertad cuánto avié de las acenias de Micael Ferrero e de suos aparceros fata",Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,Joán Pétriz de Sola Mertiras e de suos aparceros a las de Micael Ferrero e de suos aparceros. E super,esto,por amor de sacar gresgo e trabajo inter se e que·s partiessen de judicio e de carreras viéronlo per bien,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,de Joán Pétriz e de suos aparceros in suo logar firmiter tanto alta como era in illa hora. E super,esto,dioles don Diago per fidel a Joán de Marrocos e mandóles que viniessen a las acenias de de Sola Mertiras,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,son e per los que an a venir e que non alzassen maes la pesquera de aquella señal. E super,esto,venerunt ad Escalona e juntáronse Micael Ferrero e Joán Pétriz de Sola Mertiras e suos aparceros e clamaron al fidel,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,"pesquera” vadant e midan, e si non fuere alzada de maes de la medida sean en paz. E si super",esto,la medida derecta falando judicio les quisieren dar o trabajo primero les pecten VI moravedís Micael Ferrero o herederos de,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,aqua poca en el verano tornar quisieren aqua con céspedes e con arena o con paja o con retama per,esto,non pecten. E esto todo fázenlo per adobo e per convenencia e per plecto e per judicio de don Diago,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,verano tornar quisieren aqua con céspedes e con arena o con paja o con retama per esto non pecten. E,esto,todo fázenlo per adobo e per convenencia e per plecto e per judicio de don Diago iudex Toleti. Et Micael,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,"Martín Pixagudo e a don Rodrigo el trapero et a Cide Johanes e a García Diago neto de Miecha, e",estos,todos fueron a las acenias de Joán Pétriz de Sola Mertiras e de suos aparceros e midió el fidel la,Formas breves,eclesiástico,39.85678,-4.024476
CODEA-0217,1202,XIII,Burgos,s.l.,"sobrino e don Vincente, Pedro Omínguez e don Ferrando, so ermano de García. Cui ista hereditate fuit isto do Ferrando",est,<fi>ador de sanamento e consilium de Valvas testes. Gutier Díez marino ma<yor>. Alcaldes en Castro don Ferloí e Roí Ferrández.,Formas breves,particular,42.34087,-3.699731
