ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0775,1345,XIV,Zaragoza,Calatayud,"del señor rey por todo el regno de Aragón aquí esto escreví, e con letras sobreescritas en la XXII línea,",en do,"se líe ""e queremos que siamos constrenidos assín por judicio eclesiástico como por judicio seglar por complir todas las",Do,eclesiástico,41.3531678,-1.6468455
CODEA-0309,1363,XIV,Sevilla,Sevilla,aquel regno para siempre jamás. Por ende todo omne que de buena ventura es se deve membrar de aquel regno,a do,an de ir e de lo que Dios les da en este mundo partirlo con él en remissión de,Do,cancilleresco,37.3890924,-5.9844588
CODEA-0556,1369,XIV,Salamanca,Béjar,de Béjar noventa estadales estadales de viña que nós e las dichas nuestras mugeres avemos en una viña que es,a do,"dizen los Casares de doña Miguela que parte con viña de Gonçalo Martín, fijo de Miguel Martín, e con",Do,particular,40.3871165,-5.7642171
CODEA-0647,1369,XIV,Burgos,Burgos,"cibdat de Burgos que estades presente, una viña que yo agora é en término de la dicha cibdat de Burgos",a do,"dizen Arrebolleda que dizen la viña de la pared, de que son aledaños de la una parte la calleja,",Do,particular,42.3439925,-3.696906
CODEA-0647,1369,XIV,Burgos,Burgos,"Ferrant García tanador, escriví esta carta pública de todo lo sobredicho en que va escrita sobre raído en dos lugares",a do,dize viña e non empezca. E yo lo fiz e lo emendé e fiz aquí este mio signo acostumbrado,Do,particular,42.3439925,-3.696906
CODEA-0765,1375,XIV,Teruel,Rubielos de Mora,"posedir en sana paz contra todas personas dius obligación de todos nuestros bienes muebles e seyentes, avidos e por aver,",do,quiere que sean o serán. E confessamos aver recebido por entrada del dito sensal un par de perdizes. Ont renunciamos,Do,eclesiástico,40.1901266,-0.6541841
CODEA-0765,1375,XIV,Teruel,Rubielos de Mora,"complir e non contravenir dius obligación de mí e de todos mis bienes muebles e seyentes, avidos e por aver,",do,"quiere que sean o serán. en Ruvihuelos V días del mes de noviembre, Testimonios d'esto son presentes García Montañés e",Do,eclesiástico,40.1901266,-0.6541841
CODEA-0342,1376,XIV,Valladolid,Valladolid,"de Gaona prior del monesterio de Valbuena. Fecha esta tenencia e posesión, día e era sobredicha e non le empeezca",do,"va emendado do dize posesión e dos. E yo Pero Ferrández escrivano público de Valladolit susodicho, fu presente a todo",Do,eclesiástico,41.6294336,-4.2616986
CODEA-0342,1376,XIV,Valladolid,Valladolid,del monesterio de Valbuena. Fecha esta tenencia e posesión día e era sobredicha e non le empeezca do va emendado,do,"dize posesión e dos. E yo Pero Ferrández escrivano público de Valladolit susodicho, fu presente a todo <lo> que dicho",Do,eclesiástico,41.6294336,-4.2616986
CODEA-0555,1377,XIV,Salamanca,Béjar,heredat e bienes raízes qu'el dicho cabildo avía e tenía en fondón del dicho lugar de Hervás que es a,do,"dizen el Orellar la cual heredat fue de Álvar Muñoz, de la Canaleja, segund que mejor e más complidamiente passó",Do,eclesiástico,40.3871165,-5.7642171
CODEA-0555,1377,XIV,Salamanca,Béjar,la heredat e bienes raízes qu'el dicho cabildo avía e tenía en fondón del dicho lugar de Hervás que es,a do,"dizen el Orellar la cual heredat fue de Álvar Muñoz, de la Canaleja, segund que mejor e más complidamiente",Do,eclesiástico,40.3871165,-5.7642171
CODEA-0767,1378,XIV,Teruel,Rubielos de Mora,"dius obligación de mí e de todos los mis bienes muebles e sedientes, avidos e por aver, en todo lugar",do,"quiere que sean o serán trobados. E yo dito don Gil Montañés vicario, e yo don Joán Sánchez, clérigo, que",Do,particular,40.1901266,-0.6541841
CODEA-0767,1378,XIV,Teruel,Rubielos de Mora,notario público de la ciudat de Teruel qu'esta carta escriví con partes sobre escritas y emendadas: en la VIII líña,do,"dize ""porque de presente vós me envisto e endespojo a mí e a los míos de todo señorío e poderío",Do,particular,40.1901266,-0.6541841
CODEA-0799,1378,XIV,Teruel,Rubielos de Mora,a los mis cabeçaleros cada V soldos. Item si algo sobrara de los ditos cient soldos que sean dados en,do,los mis cabeçaleros avrán en bien e si no ý bastaran que sea complido e pagado de los mis bienes.,Do,particular,40.1901266,-0.6541841
CODEA-0799,1378,XIV,Teruel,Rubielos de Mora,lexo a los mis cabeçaleros cada V soldos. Item si algo sobrara de los ditos cient soldos que sean dados,en do,los mis cabeçaleros avrán en bien e si no ý bastaran que sea complido e pagado de los mis,Do,particular,40.1901266,-0.6541841
