ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0015,1462,XV,Valladolid,Medina del Campo,diziendo que non embargante que las dichas mis cartas an seído publicadas e presentadas en esa dicha cibdad que non,avéis,querido nin queredes fazer padrones algunos de las monedas e pedido que a esa dicha cibdad cabe a pagar este,Formas diptongadas,cancilleresco,41.3081627,-4.9154766
CODEA-0024,1502,XVI,Guadalajara,Guadalajara,"merced a vós doña Brianda de Mendoça, acatando los servicios que nos habedes fecho e los que esperamos que nos",haréis,"de aquí adelante e nin emienda e remuneración d'ellos por la presente vos hazemos merced, gracia e donación que es",Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0028,1558,XVI,Valladolid,Valladolid,susodicho y llamados e oídos los lugares de la tierra d'esa dicha ciudad y las otras partes a quien toca,hayáis,información e sepáis qué tierras son las que de suso se haze minción e si sin que se den a,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0028,1558,XVI,Valladolid,Valladolid,e oídos los lugares de la tierra d'esa dicha ciudad y las otras partes a quien toca hayáis información e,sepáis,qué tierras son las que de suso se haze minción e si sin que se den a censo habrá otra,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0028,1558,XVI,Valladolid,Valladolid,en la dicha razón e nós tubímoslo por vien. Por que vos mandamos que luego que con ella fuéredes requerido,veáis,lo susodicho y llamados e oídos los lugares de la tierra d'esa dicha ciudad y las otras partes a quien,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,"se contiene y contra el tenor y forma d'ella ni de lo en ella contenido no váis, ni paséis, ni",consintáis,"ir ni pasar agora ni en tiempo alguno ni por alguna manera so las penas en ella contenidas, y más",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,por que vos mandamos que luego veáis la dicha nuestra carta que de yuso va incorporada y la goardéis y,cumpláis,y executéis y hagáis goardar y complir y executar en todo y por todo segund y como en ella se,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,Y mandamos a vós las dichas nuestras justicias y a cada uno en su jurisdición que ansí lo goardéis y,"cumpláis,","y hagáis goardar y complir y executar, y que hagáis pregonar esta nuestra carta públicamente por las plaças y mercados",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,vos mandamos que luego veáis la dicha nuestra carta que de yuso va incorporada y la goardéis y cumpláis y,"executéis,",y hagáis goardar y complir y executar en todo y por todo segund y como en ella se contiene y,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,le saliere. Y mandamos a vós las dichas nuestras justicias y a cada uno en su jurisdición que ansí lo,goardéis,"y cumpláis y hagáis goardar, y complir y executar, y que hagáis pregonar esta nuestra carta públicamente por las plaças",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,"por bien por que vos mandamos que luego veáis la dicha nuestra carta que de yuso va incorporada, y la",goardéis,y cumpláis y executéis y hagáis goardar y complir y executar en todo y por todo segund y como en,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,a vós las dichas nuestras justicias y a cada uno en su jurisdición que ansí lo goardéis y cumpláis y,hagáis,"goardar y complir y executar, y que hagáis pregonar esta nuestra carta públicamente por las plaças y mercados y otros",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,"cada uno en su jurisdición que ansí lo goardéis y cumpláis y hagáis goardar, y complir y executar, y que",hagáis,pregonar esta nuestra carta públicamente por las plaças y mercados y otros lugares acostumbrados de las dichas ciudades villas y,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,"que luego veáis la dicha nuestra carta que de yuso va incorporada y la goardéis y cumpláis y executéis, y",hagáis,goardar y complir y executar en todo y por todo segund y como en ella se contiene y contra el,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,"en ella se contiene y contra el tenor y forma d'ella ni de lo en ella contenido no váis, ni","paséis,","ni consintáis ir ni pasar agora ni en tiempo alguno ni por alguna manera so las penas en ella contenidas,",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,a cada uno y cualquier de vós a quien esta nuestra carta fuere mostrada salud y gracia. Sepades y bien,savéis,"cómo el emperador y rey mi señor y la católica reina doña Joana mi señora agüela que santa gloria haya,",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,y como en ella se contiene y contra el tenor y forma d'ella ni de lo en ella contenido no,"váis,","ni paséis ni consintáis ir ni pasar agora ni en tiempo alguno ni por alguna manera, so las penas en",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0029,1560,XVI,Valladolid,Valladolid,"esta nuestra carta para vós en la dicha razón e nós tobímoslo por bien, por que vos mandamos que luego",veáis,"la dicha nuestra carta que de yuso va incorporada y la goardéis y cumpláis y executéis, y hagáis goardar y",Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0030,1562,XVI,Valladolid,Valladolid,que dentro de tres días primeros siguientes que con ella fuéredes requerido por parte de la ciudad de Guadalajara le,deis,y entreguéis un traslado escrito en limpio signado de vuestro signo en manera que haga fe de las dichas provisiones,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0030,1562,XVI,Valladolid,Valladolid,de tres días primeros siguientes que con ella fuéredes requerido por parte de la ciudad de Guadalajara le deis y,entreguéis,un traslado escrito en limpio signado de vuestro signo en manera que haga fe de las dichas provisiones y la,Formas diptongadas,cancilleresco,41.6294336,-4.2616986
CODEA-0143,1549,XVI,Guadalajara,Guadalajara,e a vós el dicho señor Francisco de Medina de Mendoça en su nombre e como su tal patrón que,sois.,E por mí e por mis herederos e sucesores me obligo de dar e pagar e que darán e pagarán,Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0144,1575,XVI,Guadalajara,Guadalajara,en demandando como en defendiendo e para que por mí y en mi nombre como mi procurador podáis parecer y,parezcáis,ante sus magestades y ante los oidores de su muy alto consejo y oidores de sus audiencias y chancillería y,Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0144,1575,XVI,Guadalajara,Guadalajara,"contra mí ansí en demandando como en defendiendo, e para que por mí y en mi nombre como mi procurador",podáis,parecer y parezcáis ante sus magestades y ante los oidores de su muy alto consejo y oidores de sus audiencias,Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0144,1575,XVI,Guadalajara,Guadalajara,términos y plazos y poner cualesquier recusaciones y sospechas y os poder partir d'ellas y para que en mi ánima,podáis,jurar de calumnia y de cisorio y otro cualquier juramento de verdad dezir obsolver posiciones y pedir que las partes,Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0144,1575,XVI,Guadalajara,Guadalajara,consentir y de las en contrario apelar y suplicar y las seguir o dar quien las siga y para que,podáis,"hazer otros cualesquier pedimientos requerimientos, protestaciones y autos, assí judiciales como extrajudiciales, que convengan de se hacer y que yo",Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0144,1575,XVI,Guadalajara,Guadalajara,que requieran presencia personal o más especial poder y mandado y para que en mi lugar y en mi nombre,podáis,"sostituir un procurador o dos o más los que fueren necessarios, y aquéllos revocar cada y cuanto que vós quisiéredes,",Formas diptongadas,judicial,40.632489,-3.1601699
CODEA-0176,1569,XVI,Guadalajara,Guadalajara,"cibdad de Guadalajara otorgo y conozco que alquilo a vós, Aparicio de Buendía, sillero, vezino de la dicha cibdad que",estáis,"presente una tienda en que al presente bibe Gaspar Roxo, çapatero, con su trastienda y no otra cosa; la cual",Formas diptongadas,particular,40.632489,-3.1601699
CODEA-0176,1569,XVI,Guadalajara,Guadalajara,"d'este presente año por precio y cuantía de ocho ducados que suman y montan tres mill maravedís, los cuales me",habéis,de pagar los cuatro ducados para el día de san Juan de junio primero que viene d'este presente año de,Formas diptongadas,particular,40.632489,-3.1601699
CODEA-0177,1576,XVI,Guadalajara,s.l.,"bachiller Pedro de San Juan clérigo presvítero beneficiado en la iglesia del señor San Gil de la ciudad de Guadalajara,",estáis,obligado de dar y pagar al dicho convento mill y cuatrocientos y veinte y cuatro maravedís y medio de censo,Formas diptongadas,eclesiástico,40.62981,-3.166493
CODEA-0177,1576,XVI,Guadalajara,s.l.,"y setenta y cuatro años a que me refiero y por cuanto vós, el dicho bachiller Pedro de San Juan,",habéis,quitado y redimido el dicho censo que a vós toca que son dozientos y ochenta y cinco mill y novecientos,Formas diptongadas,eclesiástico,40.62981,-3.166493
CODEA-0177,1576,XVI,Guadalajara,s.l.,"mill y novecientos y treinta y siete maravedís y medio los cuales vós, el dicho bachiller Pedro de San Juan,",habéis,"dado y pagado a mí la dicha doña Catalina Gómez abadesa en nombre del dicho monesterio en reales, y los",Formas diptongadas,eclesiástico,40.62981,-3.166493
CODEA-0177,1576,XVI,Guadalajara,s.l.,os entregue e dé signado y en pública forma la escritura de v<en>ta y dación de censo para que la,tengáis,en vuestro poder por título de venta para en guarda y conservación de su derecho; e obligo los bienes propios,Formas diptongadas,eclesiástico,40.62981,-3.166493
CODEA-0203,1599,XVI,Madrid,Madrid,"guardar cumplir y executar como en ella se contiene, contra su tenor y forma d'ella no vais, ni paséis ni",consintáis,ir ni pasar por alguna manera con apercivimiento que habiendo remisión en ello seréis castigados con rigor; y para que,Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,su valor aplicado para nuestra cámara juez que lo sentenciare y denunciador por iguales partes. Lo cual os mando guardéis,cumpláis,"y executéis y hagáis guardar cumplir y executar como en ella se contiene, contra su tenor y forma d'ella no",Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,"ciudades villas y lugares, y dentro de doze días primeros siguientes que corran desde el día de la data d'ella",enviaréis,ante los del nuestro consejo testimonio en manera que haga fee de que se haya publicado. Y los unos ni,Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,aplicado para nuestra cámara juez que lo sentenciare y denunciador por iguales partes. Lo cual os mando guardéis cumpláis y,executéis,"y hagáis guardar cumplir y executar como en ella se contiene, contra su tenor y forma d'ella no vais, ni",Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,de su valor aplicado para nuestra cámara juez que lo sentenciare y denunciador por iguales partes. Lo cual os mando,"guardéis,","cumpláis y executéis y hagáis guardar cumplir y executar como en ella se contiene, contra su tenor y forma d'ella",Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,nuestra cámara juez que lo sentenciare y denunciador por iguales partes. Lo cual os mando guardéis cumpláis y executéis y,hagáis,"guardar cumplir y executar como en ella se contiene, contra su tenor y forma d'ella no vais, ni paséis ni",Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,"y hagáis guardar cumplir y executar como en ella se contiene, contra su tenor y forma d'ella no vais, ni",paséis,ni consintáis ir ni pasar por alguna manera con apercivimiento que habiendo remisión en ello seréis castigados con rigor; y,Formas diptongadas,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,"d'ella no vais ni paséis ni consintáis ir ni pasar por alguna manera, con apercivimiento que habiendo remisión en ello",seréis,castigados con rigor; y para que lo susodicho venga a noticia de to<dos> y ninguno pueda pretender ignorancia mando qu'esta,Formas diptongadas,cancilleresco,40.4167754,-3.7037901
