ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0118,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XIV días de,"decembre,","era de mill e CCC treinta e nueve años. Testigos: Martín Roíz clérigo, Diago Martín Valltierra, don Tomé, Pascual Pérez,",-embre,particular,40.801521,-5.2801987
CODEA-0119,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XIV días de,"decembre,","era de mill CCC trenta e nueve años. Testigos: Domingo Muñoz Redondo Domingo Benito, ortolano, Domingo Mínguez, texedor, Alfonso Pérez.",-embre,particular,40.801521,-5.2801987
CODEA-0120,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XIV días de,"decembre,","era de mill e CCC e treinta e nueve años. Testigos: don Polo Ivánez Domingo fijo de Domingo Caro, Miguel",-embre,particular,40.801521,-5.2801987
CODEA-1852,1755,XVIII,Valencia,s.l.,"de Valencia porque antes de executarse se remitiese al Consejo. Vuestra alteza, en vista de todo, mandó en 7 de",Dezembre,"del año 760 que se volbiesen a examinar los testigos haciéndoles las preguntas con arreglo a la cartilla, lo que",-embre,judicial,39.47024,-0.3768049
CODEA-1495,1282,XIII,Pamplona,Pamplona,"d'Eslava lo podador, e don Semén Aznariz, lo vinonde, e Joán d'Eslava, e Miguel Péritz, escriván jurat de Pampalona. en",dezembre,lendemán de Santa Lucía; lo dit Miguel Péritz escriván,-embre,eclesiástico,42.812526,-1.6457745
CODEA-0136,1347,XIV,Toledo,Illescas,"E non fagades ende ál por ninguna manera so pena de la nuestra mercet. Dada en Sevilla, tres días de","dezembre,","era de mill e trezientos e setenta cinco años.Yo Ferrant Velásquez, la fiz escrevir por mandado del rey. <Allant Darvas>,",-embre,cancilleresco,40.1262812,-3.8489895
CODEA-2815,1718,XVIII,Salamanca,"Martín Hernando, Ciudad Rodrigo",Amo y señor recib<í> su carta de 7 de,dicenbre,"y las noticias de la saluz de useñoría en que me alegro. Nosotros la goçamos, gracias a Nuestro Señor. Doyle",-embre,particular,40.596944,-6.5225
CODEA-1849,1734,XVIII,Madrid,Madrid,ocho de en<nero> de seiscientos y ocho sobre arrendar la <de>hesa del condestable; y del de treinta y uno de,dizembre,de quinientos ochenta y siete sobre daños en los montes; y del de cuatro de enero de quinientos y ochenta,-embre,judicial,40.4167754,-3.7037901
CODEA-0936,1357,XIV,Navarra,Navarra,temps será tresorera del dit convent o al mostrador d'esta carta per la festa de Sant Andreu del mes de,novembre,en cascún an senz ningún altre alongament pera obs al dit convent. E devez les labora de lus labós acostumnades,-embre,eclesiástico,42.816667,-1.65
CODEA-0936,1357,XIV,Navarra,Navarra,de carlins negres que nos dongam e paguem en cadaún an per la festa de Sant Andreu del mes de,novembre,a la tresorera qui ara es o per temps será tresorera del dit convent o a tot homen qui esta,-embre,eclesiástico,42.816667,-1.65
CODEA-0982,1358,XIV,Navarra,s.l.,negres <…> dit trebut devez dar e pagar en cascún an per la festa de Sant Andreu del mes de,novembre,senz nigún altre alongament a nós la dita priora o <aquela que per temps> será priora o al mostrador d'esta,-embre,eclesiástico,42.81721,-1.646767
CODEA-0982,1358,XIV,Navarra,s.l.,yo ei en convinent de dar e pagar en cascún an per la festa de Sant Andreu del mes de,novembre,a vós la dita priora o ad aquela qui per temps será priora o al mostrador d'esta carta senz ningún,-embre,eclesiástico,42.81721,-1.646767
CODEA-0084,1296,XIII,Valladolid,Valladolid,maravedís de la moneda nueva a cada uno. La carta leída dátgela. Dada en Toro veinte e dos días de,"novembre,","era de mill e trezientos e treinta e un año. Joán Gil chantre de Astorga, la mandó fazer por mandado",-embre,cancilleresco,41.6294336,-4.2616986
CODEA-0117,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XX días de,"novembre,","era de mill e CCC e treinta e nueve años. Testigos: don Fagunde alcalle, Martín Iváñez, Martín Pérez, Diago Estevan,",-embre,particular,40.801521,-5.2801987
CODEA-0422,1270,XIII,León,s.l.,esta carta de nuestro siello pendienti en testimonio de verdade. Fecha la carta miércoles cinco días andados del mes de,"novembre,","era de mill e trezientos e ocho años. Yo Salvador Pérez público notario del conceyo de Bienvibre, a ruego del",-embre,municipal,42.59988,-5.571752
CODEA-0431,1330,XIV,Zamora,s.l.,"Alfonso Gómez de Vanavides Diego Martínez de Villa <…>, Pedro Miguéllez de Villa <…> e otros. Fecha diez días de","novembre,","era de mill e trezientos e sessenta años <…>. Yo Marcos Domínguez notario ya dicho, fuy presente e al ruego",-embre,particular,41.50368,-5.743778
CODEA-0497,1304,XIV,Salamanca,Salamanca,le mandé dar esta mi carta seellada con mio seello de plomo. Dada en Salamanca veinte e cinco días de,"novembre,",era de mill e trezientos e cuarenta e dos años. Yo el rey don Fernando.,-embre,cancilleresco,40.9701039,-5.6635397
CODEA-0887,1266,XIII,Navarra,Pamplona,feita e dada en Pamplona lunes día de Santa Cezilia que es veint e dos días andados del mes de,"novembre,",Ferrant Périz l'escrivió.,-embre,cancilleresco,42.812526,-1.6457745
CODEA-0888,1266,XIII,Navarra,Pamplona,e dada en Pampilona lunes día de Santa Cezilia que es veint e dos días andados en el mes de,"novembre,",Ferrant Périz l'escrivió <…> señor rey.,-embre,cancilleresco,42.812526,-1.6457745
CODEA-0936,1357,XIV,Navarra,Navarra,b c. In era de mil trezenz e navanta e cinc disaute vint e seis díes intraz el mes de,"novembre,",e fi en ella aquest meo signe acostumnat en testimoni de vertat.,-embre,eclesiástico,42.816667,-1.65
CODEA-0982,1358,XIV,Navarra,s.l.,con ma propria man in era de mil trezenz e navanta e seis divendres trenta dies intraz el mes de,"novembre,",e fi en ela aquest mon signe acostumnat en testimoni de verdat per abc partida con sa perella. E en,-embre,eclesiástico,42.81721,-1.646767
CODEA-1103,1282,XIII,Córdoba,Córdoba,daño doblado. E d'esto mandéles dar esta mi carta seellada con mio seello colgado. Dada en Córdova primero día de,"novembre,",era de mill e trezientos e veinte años. Gómez García la mandó fazer por mandado del infante. Yo Domingo Canes,-embre,cancilleresco,37.8881751,-4.7793834
CODEA-1477,1379,XIV,Valladolid,Valladolid,mandamos dar esta nuestra carta seellada con nuestro seello de plomo pendiente. Dada en Valladolid veinte e cuatro días de,"novembre,",era de mill e cuatrocientos e diez e siete años. Yo Joán Ferrández la fiz escrivir por mandado del rey,-embre,cancilleresco,41.6294336,-4.2616986
CODEA-0816,1260,XIII,Huesca,s.l.,dito pero en tal manera qui vos dedes a nós cad'año por la fiesta de sant Miguel en mes de,septembre,"VI kafizes de cevera los II kafizes de trigo, e los II kafizes de ordio, e los otros II kafizes",-embre,eclesiástico,42.1401,-0.408898
CODEA-0816,1260,XIII,Huesca,s.l.,aquell logar en pues vuestros días dé a nós cad'año por la fiesta de sant Miguel en el mes de,septembre,"XI kafizes de cevera los IIII kafizes de trigo, e los IIII kafizes de ordio, e los III kafizes d'avena.",-embre,eclesiástico,42.1401,-0.408898
CODEA-0235,1223,XIII,Palencia,s.l.,a XII días andados del mes de,"septembre,","domingo día pernombrado, desapoderó el abad don Andrés de Santa María de Aguilar a don Petro de Santa Ovenia de",-embre,eclesiástico,42.01246,-4.531175
CODEA-1344,1502,XVI,León,Monasterio de San Andrés de Espinareda,"año por la medida de Astorga metá trigo e metá centeno, por la fiesta de Santa María del mes de",setembre,puesto de cada año en paz e en salvo en la dicha cibdad de Astorga e más un par de,-embre,eclesiástico,42.725369,-6.654985
CODEA-3900,1809,XIX,Asturias,Oviedo,NA,Setembre,5 de 1809. Señores de la Junta y gobierno del Principado de Obiedo: saberán bostedes de las picardías del juez,-embre,particular,43.36026,-5.844759
CODEA-0381,1319,XIV,Valladolid,Monasterio de Vega,aquí a Monester de Vega a salvo a toda nuestra costa cada año cinco cargas por la Santa María de,"setembre,",so pena de media fanega de trigo por cadaún día cuantos días pasasen del dicho plazo en delante e por,-embre,particular,42.23,-5.180833
CODEA-0426,1399,XIV,León,Monasterio de San Andrés de Espinareda,al convento del dicho monesterio la otra que furon feitas enno dicho monesterio vinte e cinco días del mes de,"setembre,",año del nacimiento del Nuestro Salvador Jesucristo de mill e trezientos e noventa nueve años. Testigos qui presentes furon: Lope,-embre,eclesiástico,42.725369,-6.654985
