ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-2791,1713,XVIII,Granada,Algarinejo,que no puedo más que guarde a V. S. los muchos años que deseo y he menester etcétera. Algarinejo y,<noviem>bre,a 15 de 1713. De V. S. su más fina hija que más los quiere y su mano besa Ana,-bre,particular,37.325558,-4.158611
CODEA-3965,1808,XIX,Gerona,Bañolas,"Camps Texedor de lino y Pablo Boix, jornalero, vezinos que fueron d'esta villa, murieron el primero en el mes de",7tiembre,y el último en el de 8tubre próximos de un balazo disparado por los franceses en los encuentros que con,-bre,particular,42.119444,2.766389
CODEA-3928,1808,XIX,La Coruña,La Coruña,disponiendo en cuanto sea del agrado de V. A. S. de la inutilidad de este capellán que besa. La Coruña,9viembre,2 de 1808. El cura de San Juan de Tornes. Serenísimo señor. Juan Antonio Araújo.,-bre,particular,43.366667,-8.383333
CODEA-3540,1715,XVIII,Castellón,Castelnovo,la quinen. Dios la guarde de otras calenturas y a ti los años que deceo y é menester. Castelnovo y,cetiembre,"a 15 de 1715. Te besa la mano tu madre y mayor cervidora doña Tereça Belvís y Escrivá. Ijo mío,",-bre,particular,39.862076,-0.457477
CODEA-3990,1818,XIX,Soria,Almazán,ha diri jido con su oficio de cuatro del corriente. Dios guarde a V. S. muchos años. Almazán y dic,ciembre,14 de 1818. Agustín de Medina y Lavalle. Señor fiscal del crimen de la Real Chancillería de Valladolid.,-bre,particular,41.48592,-2.533437
CODEA-0118,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XIV días de,"decembre,","era de mill e CCC treinta e nueve años. Testigos: Martín Roíz clérigo, Diago Martín Valltierra, don Tomé, Pascual Pérez,",-bre,particular,40.801521,-5.2801987
CODEA-0119,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XIV días de,"decembre,","era de mill CCC trenta e nueve años. Testigos: Domingo Muñoz Redondo Domingo Benito, ortolano, Domingo Mínguez, texedor, Alfonso Pérez.",-bre,particular,40.801521,-5.2801987
CODEA-0120,1301,XIV,Salamanca,Santiago de la Puebla,Santiago de la Puebla que faga esta carta e ponga en ella su signo. Esto fue fecho XIV días de,"decembre,","era de mill e CCC e treinta e nueve años. Testigos: don Polo Ivánez Domingo fijo de Domingo Caro, Miguel",-bre,particular,40.801521,-5.2801987
CODEA-0670,1292,XIII,La Rioja,s.l.,sobredichas que estas cartas fiz y en ellas mi signo acostumbrado pus; que fueron fechas a ocho días andados de,deciembre,en era de mil e CCC e XXX años.,-bre,eclesiástico,42.46577,-2.449995
CODEA-2287,1659,XVII,Zaragoza,Zaragoza,V.M. me quisiere dar de su serbicio mostrará mi obediencia mi agradecimiento. Dios guarde a V.M. felices años. Zaragoza y,deciembre,21 de 1659. Besa la mano de V.M. su más servidor don Antonio de Castro y de la Torre.,-bre,particular,41.6488226,-0.8890853
CODEA-2364,1794,XVIII,Zaragoza,Zaragoza,Zaragoza y,deciembre,a 30 de 1794. Muy ilustre señor y mi estimado dueño: el Señor llene a vuestra señoría de su santo,-bre,particular,41.6488226,-0.8890853
CODEA-2470,1645,XVII,Hamburgo,Hamburgo,"a todo acudiré con la pontualidad devida. Dios guarde la excelentísima persona de vuestra excelencia como puede, etcétera. Hamburgo, 19",deciembre,1645. De vuestra excelencia humilde criado doctor Manuel Bocarro Francés | y Rosales. <…> Discurso astrológico sobre la Natividad del,-bre,particular,53.55,10
