ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0846,1275,XIII,Huesca,s.l.,que al dito quinión pertenexen e pertenexer deven por ninguna manera por precio que entre nós e vós amigablemet nos,abiniemos,"e es saber por LXX soldos dineros jaqueses e aliala pan e vino, los cuales ditos dineros nós de vós",-iemos,particular,42.1401,-0.408898
CODEA-0713,1235,XIII,Burgos,s.l.,de Olaya que tien Pedrivañes; otra faça buena a Sofomert que tovo Juan Martínez de Aliezo; otra ý aluego que,cogiestes,ordio; otra ý luego que yaze cabestas amas; otra tierra a fomert do está el nozal; otra tierra tras la,-iemos,eclesiástico,42.34087,-3.699731
CODEA-1229,1531,XVI,Zaragoza,Monasterio de Santa María de Piedra,cual estava cubierta con un paño de lino. E por el dicho aspecto de la dicha cara claramente vimos y,conociemos,el dicho cuerpo siquiere cadáver que en el dicho escaño estaua echado ser y que era el cuerpo propio del,-iemos,judicial,41.193333,-1.7825
CODEA-0009,1387,XIV,Madrid,Santorcaz,segunt que esto más largamente en la dicha respuesta de Guadalfajara se contiene. Sobre lo cual amas las dichas partes,contendiestes,en juizio ante los dichos nuestros oidores fasta que ellos dieron sentencia inclonitoria en el dicho pleito por la cual,-iemos,judicial,40.4720739,-3.2338526
CODEA-0009,1387,XIV,Madrid,Santorcaz,a que veniesen dezir del derecho de vós las dichas partes contra ellos. Sobre lo cual amas las dichas partes,contendiestes,en juizio ante los dichos nuestros oidores e dixestes e razonastes ante ellos todo lo que dezir e razonar quisiestes,-iemos,judicial,40.4720739,-3.2338526
CODEA-0975,1283,XIII,Huesca,s.l.,con sos exidas e con todos dereitos pertenecientes al dito campo por precio convenient que entre nós e vós bien,"conveniemos,",yes a saber XXX soldos dineros jaqueses. Del cual precio e del aliala somos e nos tenemos por bien pagados,-iemos,particular,42.1401,-0.408898
CODEA-1413,1290,XIII,Huesca,Belsué,dreitos pertenecientes del cielo entro a tierra a los ditos logares por precio convenient que entre nós e vós bien,"conveniemos,","yes a saber XII soldos dineros jaqueses, del cual precio e también del aliala somos e nos tenemos de vós",-iemos,particular,42.3146269,-0.3796909
CODEA-0133,1350,XIV,Sevilla,Sevilla,e que lo mataran si non que se <en>cerró en la sacrestanía de la dicha eglesia. E que vós que,dexiestes,que queríades vessitar la dicha eglesia e que por cuanto vos dixieron que <el> prior que tenía acá consig<o> las,-iemos,cancilleresco,37.3890924,-5.9844588
CODEA-0614,1380,XIV,Valladolid,Medina del Campo,los dichos juezes que nós dimos para esto que dicho es complimiento de derecho contra lo cual <…> Pero Ferranz,dexiestes,"e alegastes vuestras razones e defensiones aquellas que entendiestes que vos complían, e contendistes amas las dichas partes contrallas sobr'ello",-iemos,cancilleresco,41.3081627,-4.9154766
CODEA-0004,1277,XIII,Burgos,Burgos,"e en León e aun por les fazer más merced, otorgámosles sus fueros e todos los privilegios que les nós",diemos,e los otros reyes que fueron ante de nós. E defendemos que ninguno no sea osado de ir contra este,-iemos,cancilleresco,42.3439925,-3.696906
