ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-2582,1682,XVII,Ciudad Real,Ciudad Real,"Juan Agustín y Jazinto Fernández vezinos d'esta ziudad; y el otorgante, que yo el escrivano doy fee conozco, firmó. Testado,","""""quisiere"""":","no balga. Ante mí Francisco Manuel Delgado. Juan de Arébalo. Sin derechos, doy fee.",-ieron,particular,38.9861,-3.927263
CODEA-2390,1454,XV,Ávila,Ávila,escrito sobre raído en esta escriptura ó diz “prado” e ó diz “en pena e postura si” e ó diz,“veniere,"en juizio o fuera d'él diez maravedís” e ó dize “e”, “e”, “o”; entre renglones, ó diz “propia”: non le",-ieron,particular,40.656685,-4.6812086
CODEA-3599,1555,XVI,Badajoz,Higuera la Real,"noble señor Antón Domínguez Candilejo alcalde <ordinar>io d'esta villa, e por presencia de mí, Gonzalo Rodrigues, escrivano público d'es<ta> <villa>,",<p>arecieron,"Hernán Diañes e Gonzalo Rodrigues Bravo vezinos d'es<ta> <vill>a, e dixeron que Rodrigo Vázquez, vezino d'esta villa, es fallecido d'esta",-ieron,particular,38.141389,-6.689722
CODEA-2499,1691,XVII,La Rioja,Logroño,"pidió voluntarias en diferentes días dice en ellas contra difirentes personas judaiçantes sin confesar de sí cossa alguna, las cuales",<suce>dieron,en veinte y ocho y treinta y uno de mayo seis de junio de dicho año. Y en audiencia voluntaria,-ieron,judicial,42.4627195,-2.4449852
CODEA-0403,1361,XIV,Sevilla,Sevilla,del dicho monesterio a cualquier o a cualesquier personas que lo d'él quisieren arrendar por cuanto tiempo se con él,"abenieren,",segunt que el derecho pone así de pan como a dineros como de otra manera cualquier que con él se,-ieron,eclesiástico,37.3890924,-5.9844588
CODEA-0403,1361,XIV,Sevilla,Sevilla,segunt que el derecho pone así de pan como a dineros como de otra manera cualquier que con él se,"abenieren,",e <…> nós avemos e avremos por firme e por valedero para todo tiempo. E otrosí le damos poder cumplidamiente,-ieron,eclesiástico,37.3890924,-5.9844588
CODEA-2363,1721,XVIII,Álava,Quejana,convento y demás relixiosas que combenga para que en fuerza de una de las condiziones que refiere el zitado zenso,abiese,de cómo se quiere redimir dicho capital y remita parte lexítima con poder bastante de dicho convento al rezivo de,-ieron,municipal,43.075833,-3.072778
CODEA-2102,1257,XIII,Murcia,Murcia,fazer fuerça nin tuerto nin mal ninguno nin de vos tomar vuestra mercaduría sinon por sus dineros o como se,abiniere,convusco a vuestro plazer; et aquel que d'otra guisa vos la tomasse mandar gela ía dar doblada con la costa,-ieron,cancilleresco,37.9922399,-1.1306544
CODEA-0642,1272,XIII,La Rioja,s.l.,"estos tres omnes buenos sobredichos recibieron este pleito assí como sobredicho es, e ovieron so acuerdo con omnes buenos, e",abinieron,el pleito a plazer d'amas las partes en tal guisa: que la dehesa nueva que dizen de Santurdejo es partida,-ieron,judicial,42.46577,-2.449995
CODEA-0393,1386,XIV,Madrid,Alcalá de Henares,podién e que toviéssemos por bien que los que agora aquí andan querellando que los mandásemos ir e que se,abiniessen,con sus señores. A esto respondemos que mandaremos a los nuestros alcalles que non den estas cartas sin aver nuestro,-ieron,cancilleresco,40.4819791,-3.3635421
CODEA-0607,1388,XIV,Cantabria,s.l.,casa cómo la avía fecho contra su voluntad e sobr'el embargo que le oviera puesto otra vegada ajan d'esto cuando,abriera,cimientos e el dicho Juan Ferrández respondió que la dicha ermita e ofrenda que en ella oviese que era del,-ieron,eclesiástico,43.46096,-3.807934
CODEA-3791,1813,XIX,Teruel,Valdealgorfa,haze más de cincuenta años que se emplean en tan santo exercicio. El retor mandó al sacristán que no se,abriera,"la sacristía sino concluido el rosario lo que se executó, pero como encontrase esta novedad, al día siguiente el dicho",-ieron,particular,40.990833,-0.035144
