ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-3036,1770,XVIII,Córdoba,Córdoba,"biene y mi hermano Luis agradeze el suyo. Selebro lo acompañado que estás con todas las jentes de Algarinejo, que",bendrán,con el dezeo de llevarte a ti para las pascuas. Mira no olbides el que baya el señor don Bisente,Tipo tendré,particular,37.8881751,-4.7793834
CODEA-3552,1704,XVIII,Madrid,Madrid,á estado a berme) que quedava ya pública su fortuna. De la amiga é tenido carta en que me dize,bendrán,con brebedad y logrará Anica que yo la sirba. Mi tío escrive dudoso si de aquí irá carruaje o de,Tipo tendré,particular,40.4167754,-3.7037901
CODEA-2117,1746,XVIII,Córdoba,Córdoba,mujer fuera más ermosa que la Virgen no havía de tener que ver con ella. Y dijo que ella lo,pondría,bueno y que sin aplicarle medicamento alguno. Le dijo la reo se fuese a su casa que ella por allá,Tipo tendré,judicial,37.8881751,-4.7793834
CODEA-2117,1746,XVIII,Córdoba,Córdoba,"le dejava. Y que así era preciso traer una onza de unto de hombre que costava cinco pesos, que ella",pondría,la mitad que el testigo la dio sus dos pesos y medio. Y de allí a 15 días dijo la,Tipo tendré,judicial,37.8881751,-4.7793834
CODEA-0766,1277,XIII,Teruel,Rubielos de Mora,suert de tierra e los dichos senses sean dados a otras huérfana o huérfanas ad aquellas que los mis cabezaleros,tendrían,en bien o por mis parientes más cercanos. Item lexo al espital de Ruvielos dos soldos jaqueses; item lexo a,Tipo tendré,particular,40.1901266,-0.6541841
CODEA-1001,1668,XVII,Madrid,Madrid,susodicho ni quien sucediese en el dicho juro que diesen más maravedís por ellos de los susodichos más que los,tendrían,y goçarían d'ellos enteramente en cadaún año para siempre xamás o asta que se quitase el dicho juro como dicho,Tipo tendré,cancilleresco,40.4167754,-3.7037901
CODEA-1047,1661,XVII,Madrid,Madrid,ni a quien subcediese en el dicho juro que diesen más maravedís por ellos de los susodichos mas que los,tendrían,y goçarían d'ellos enteramente en cadaún año para siempre xamás o asta que se quite el dicho juro como dicho,Tipo tendré,cancilleresco,40.4167754,-3.7037901
CODEA-1852,1755,XVIII,Valencia,s.l.,todo y de la singular protección que el reo tenia en el señor obispo de Orihuela y que siempre se,tendrían,estos procedimientos como efecto de mala voluntad que es el único recurso de culpados. Y concluyó pidiendo que el tribunal,Tipo tendré,judicial,39.47024,-0.3768049
CODEA-1867,1781,XVIII,Guadalajara,Guadalajara,de vuestras señorías se les permita a los suplicantes a los precios instipulados y que a poderlos dar más vajos,tendrían,más utilidades por el mayor consumo; esperan recivir merced de vuestras señorías a quienes Dios Nuestro Señor guarde tan necesarias,Tipo tendré,particular,40.632489,-3.1601699
CODEA-2119,1731,XVIII,Valencia,Valencia,dichas belas diziendo las oraziones que esta reo sabía se abrasarían los corazones de los oidores de suerte que no,tendrían,alibio hasta poner en libertad a el hermano de el testificante. Que también le daría medio para lograr torpemente a,Tipo tendré,judicial,39.4699075,-0.3762881
CODEA-2522,1701,XVIII,Zaragoza,Borja,oyó que dicha sor Teressa Longás decía a sor Mariana y a sor Teressa Sallent que dentro de pocos días,tendrían,otro y que podría ser fuesse por otra parte de lo cual hiço juicio que havía cooperado en dicho fuego.,Tipo tendré,judicial,41.83517,-1.531878
CODEA-2584,1641,XVII,Madrid,Madrid,después dice que este confesante oyó decir a los dichos Diego Núñez Febos y Diego Rodríguez Cardoso que qué orden,tendrían,"para que se le hablase a dicho Francisco Cardoso y que se encargó de buscarla Diego Núñez Febos, y que",Tipo tendré,judicial,40.4167754,-3.7037901
CODEA-2584,1641,XVII,Madrid,Madrid,asta Francia y que quedaron de acuerdo que Diego Núñez y Cristóbal Rodríguez estarían en la calle de Alcalá y,tendrían,"prevenida mula y que sucedió así que salieron este declarante de la Caba Baja y Diego Rodríguez Cardoso con este,",Tipo tendré,judicial,40.4167754,-3.7037901
CODEA-2631,1458,XV,Vizcaya,Bilbao,"fijosdalgo han e les pertenece. E dixieron que d'esta ora en adelante por siempre jamás, por tales los abrían e",tendrían,e han e tienen e vien d'aquí que los recivían por tales segund e por la forma e manera que,Tipo tendré,municipal,43.2630126,-2.9349852
CODEA-3372,1856,XIX,Burgos,Burgos,querido se les dé fuego pero que se les dará muy pronto. Dije también a vuestra excelencia que tal vez,tendrían,"que hacerse 3 o 4 hornos pero como la estación está bastante adelantada para la poda, ha sido necesario suspenderla,",Tipo tendré,particular,42.3439925,-3.696906
CODEA-3462,1795,XVIII,Álava,Amurrio,"en que concluyen los anteriores para que mutuamente entre los dueños e inquilinos haya tiempo de prebenirse, el que no",tendrían,dejándolo a la conclusión del arriendo anterior en cuyo supuesto suplico a Vmd. se sirva disponer el que ha de,Tipo tendré,particular,43.052507,-3.000896
