ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-1011,1622,XVII,Valladolid,Valladolid,"mientras no la uviere se les consignen en el oficio de correo mayor de Valladolid, y que se les den",docientas,fanegas de trigo en la messa maestral cada año porque si se esperase a berificarlo abría muy gran dilación y,dozientos,eclesiástico,41.6294336,-4.2616986
CODEA-1011,1622,XVII,Valladolid,Valladolid,mientras no la ubiere se les consignen en el oficio de correo mayor de Valladolid y que se les den,docientas,"fanegas de trigo en la messa maestral cada año porque si se esperase a berificarlo, abría muy gran dilación y",dozientos,eclesiástico,41.6294336,-4.2616986
CODEA-1129,1590,XVI,Mallorca,Palma de Mallorca,señor. Ayer domingo llegué a'sta Villa de La Palma y si los bagages no me faltaran ý imbiara con ésta,docientas,anegas de trigo más sólo para serbir a vuestra merced. Me hallo corto de bagajes porque en toda esta tierra,dozientos,particular,39.5696005,2.6501603
CODEA-1418,1595,XVI,Badajoz,Mérida,"ocho maravedís en cinco partidas que todo era para mi señora doña María de Zúñiga, que se pagó mil y",docientas,y veinte y cuatro maravedís de diez varas de pasamanillo fino que faltó para el bestido morado y se compró,dozientos,particular,38.9191439,-6.340805
CODEA-1513,1662,XVII,Madrid,Madrid,"y acava a fin de diciembre de mil y seiscientos y cuarenta y seis en el dicho libro, a folio",docientas,y treinta y nueve ay una partida del tenor siguiente: En veinte y uno de noviembre de mil y seiscientos,dozientos,judicial,40.4167754,-3.7037901
CODEA-1748,1569,XVI,Madrid,Alcalá de Henares,y clérigos presbíteros que por sus personas tuviesen cargo de decir missas por semanas de manera que venían a ser,docientas,y beinte y siete missas las que cadaún capellán á de dezir en cadaún año y qu'el dicho instituidor las,dozientos,eclesiástico,40.4819791,-3.3635421
CODEA-1748,1569,XVI,Madrid,Alcalá de Henares,que conforme al dicho cargo de las dichas capellanías cadaún capellán está obligado y le caben de dezir más de,docientas,y treinta missas en cadaún año y que para ello solamente tiene cinco mil maravedís y un cahíz de trigo,dozientos,eclesiástico,40.4819791,-3.3635421
CODEA-1793,1588,XVI,Madrid,Daganzo de Arriba,montaron los bienes e capital que quedó por fin e muerte de los susodichos líquidos para partir entre cinco herederos,docientas,e treinta mil e quinientos e noventa maravedís: De los cuales dichas docientos e treinta mil e quinientos y nobenta,dozientos,municipal,40.5450297,-3.4574079
CODEA-1811,1591,XVI,Madrid,Daganzo de Arriba,"frailes de la Madre <de> Dios de Alcalá. iten otros dos pedaços de biña en el dicho pavo, de caver",docientas,cepas pocas más o menos linde de viña de los herederos de Juan de Benito e viña de Juan de,dozientos,judicial,40.5450297,-3.4574079
CODEA-1839,1688,XVII,Madrid,Arganda del Rey,Diego de Vargas y tierra de don Gerónimo Estevan Martínez y la madre tasada en mil y seiscientos reales. Iten,docientas,"cepas heriales en los Arenales linde de majuelos de herederos de Bernardo Sanz y Francisco Xiro, tasadas en cien reales.",dozientos,particular,40.3064463,-3.4479062
CODEA-0181,1616,XVII,Guadalajara,Guadalajara,"escribano hizo y otorgó un codizilio por el cual mandó a Luisa Hernández, su hixa, biuda de Francisco Ramírez, difunto,",docientos,y cinquenta ducados para que los hobiese por bía de mexora en el quinto de sus bienes en la forma,dozientos,judicial,40.632489,-3.1601699
