ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-2528,1700,XVIII,Zaragoza,Borja,"a <quien> pido les dé paz y guarde a vuestra reverencia. De esta su celda oy miércoles, a 1 de",deciem<bre>.,"Muy reverenda madre abadesa besa la mano de vuestra reverencia su más rendido capellán y serbidor, fray Manuel de Val.",deciembre,particular,41.83517,-1.531878
CODEA-0670,1292,XIII,La Rioja,s.l.,sobredichas que estas cartas fiz y en ellas mi signo acostumbrado pus; que fueron fechas a ocho días andados de,deciembre,en era de mil e CCC e XXX años.,deciembre,eclesiástico,42.46577,-2.449995
CODEA-2287,1659,XVII,Zaragoza,Zaragoza,V.M. me quisiere dar de su serbicio mostrará mi obediencia mi agradecimiento. Dios guarde a V.M. felices años. Zaragoza y,deciembre,21 de 1659. Besa la mano de V.M. su más servidor don Antonio de Castro y de la Torre.,deciembre,particular,41.6488226,-0.8890853
CODEA-2364,1794,XVIII,Zaragoza,Zaragoza,Zaragoza y,deciembre,a 30 de 1794. Muy ilustre señor y mi estimado dueño: el Señor llene a vuestra señoría de su santo,deciembre,particular,41.6488226,-0.8890853
CODEA-2470,1645,XVII,Hamburgo,Hamburgo,"a todo acudiré con la pontualidad devida. Dios guarde la excelentísima persona de vuestra excelencia como puede, etcétera. Hamburgo, 19",deciembre,1645. De vuestra excelencia humilde criado doctor Manuel Bocarro Francés | y Rosales. <…> Discurso astrológico sobre la Natividad del,deciembre,particular,53.55,10
CODEA-2882,1736,XVIII,Salamanca,"convento de Carmelitas de Alba, Alba de Tormes",y todos estimo y deseo me los guarde Dios muchos años como é menester. D'esta de carmelitas descalzas de Alba,deciembre,23 de 1736. Señor muy de VS. de coraçón. Alfonsa María de la Presentación. Señor marqués de Balençuela.,deciembre,particular,40.826711,-5.514387
CODEA-3014,1752,XVIII,Huesca,Sariñena,"don Martín Ballarín racionero, vicario de Sariñena. En la villa de Sariñena a veinte y cinco días del mes de",deciembre,de mil setecientos cincuenta y dos años el señor lizenciado don Francisco Maestro presbítero ra-cionero de la iglesia colegial de,deciembre,judicial,41.793395,-0.157413
CODEA-3577,1811,XIX,Castellón,Vinaroz,mucho tiempo hace que nada sé. Los Zuritas en Mirambel buenos pero hemos tenido la desgracia que el primero de,deciembre,se murió mi hija Luisa y el quince de este mi cuñado Manuel Borrás. Tenga vuestra merced la bondad de,deciembre,particular,40.470444,0.475389
CODEA-0354,1298,XIII,Valladolid,Valladolid,por ello. E d'esto les mandé dar mi carta seellada con mio seello colgado. Dada en Valladolit seis días de,"deciembre,","era de mill e CCC e XXII años. Yo Roy Díaz sacristán de Valladolit, la fiz escrivir por mandado del",deciembre,cancilleresco,41.6294336,-4.2616986
CODEA-0767,1378,XIV,Teruel,Rubielos de Mora,cadaúna de las partes e por aver memoria al tiempo avenidero. fue en Ruvihuelos VIII días andados del mes de,"deciembre,","Presentes testimonios fueron a'questo: Joán Gutiérrez e Pero Sauca Piquero vecinos de Ruvihuelos. Signo de mí Sancho de la Cierva,",deciembre,particular,40.1901266,-0.6541841
