ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0336,1253,XIII,León,León,sanar ela devandicha viña a todo tiempo de todo demandante con derecho. Fecha la carta era MCCLXXXXI enno mes de,"genero,","miércoles XI dies por andar. Reñando el rey don Alfonso con la reína doña Violanda en León en Galicia, en",janero,particular,42.5987263,-5.5670959
CODEA-0581,1318,XIV,Asturias,Belmonte de Miranda,que escrivisse esta carta partida por abc e feziesse en ello so signo. Fecha carta en Belmonte veinte días de,"genero,","era de mill e trecientos e cuarenta e ocho años. Pérez Álvar Péliz de Vello, Martín Lamo e so criado,",janero,eclesiástico,43.2549639,-6.2588369
CODEA-0797,1445,XV,Teruel,Rubielos de Mora,año perdurablement en las segundas viespras en el día de la Circuncisión del Señor qui es el primer día de,"genero,",al cual aniversario lexo e asigno e quiero que los ditos vicario eclérigos ayan ocho reales soldos dos dineros jacos,janero,eclesiástico,40.1901266,-0.6541841
CODEA-0794,1419,XV,Teruel,Rubielos de Mora,testament contenida bien e diligentement comprové e de mi propria mano escriví e cerré. A VII días del mes de,janero,"de dézimocuarto fue livrada y quitada la presente cláusula por Jaime Bortolán sastre, vezino del lugar de Ruvielo a los",janero,eclesiástico,40.1901266,-0.6541841
CODEA-0798,1529,XVI,Zaragoza,Zaragoza,"de Mur hermana mía, según consta por instrumento público de vendición fecho en Çaragoça a quinze días del mes de",janero,"del año mil quinientos y siete e por el dicho Jaime Malo notario público de Çaragoça, testificado; considerant empués la",janero,particular,41.6488226,-0.8890853
CODEA-0798,1529,XVI,Zaragoza,Zaragoza,testamento de la dicha María de Mur fecho en la dicha ciudat de Caragoça a diez días del mes de,janero,"del año e por el discreto Joán de Altarriba <…> notario público de la ciudat de Caragoça, recebido y testificado.",janero,particular,41.6488226,-0.8890853
CODEA-0799,1378,XIV,Teruel,Rubielos de Mora,avidos e por aver doquier que sean o serán trobados. Feito fue en Ruviellos el primero día del mes de,janero,"Presentes testimonios de aquesto son Domingo Barberán Pere Saura, vezinos de Ruviellos. Signo de mí Martín Gil, notario público de",janero,particular,40.1901266,-0.6541841
CODEA-0807,1279,XIII,Huesca,Huesca,nenguna manera en la glesia de Junçano d'est día que esta present carta fue escrita entro al primer mes de,janero,que viene e d'aquel mes de janero entro a vint años passados continuament e complidos. En tal convenio que vós,janero,eclesiástico,42.131845,-0.4078058
CODEA-0807,1279,XIII,Huesca,Huesca,d'est día que esta present carta fue escrita entro al primer mes de janero que viene e d'aquel mes de,janero,entro a vint años passados continuament e complidos. En tal convenio que vós dedes e paguedes a mí o a,janero,eclesiástico,42.131845,-0.4078058
CODEA-0807,1279,XIII,Huesca,Huesca,que vós dedes e paguedes a mí o a los mis sucessores de trevudo quiscadaún año en el mes de,janero,"quinze morabedís alfonsís bonos de oro e de dreito peso. E esto faciendo e compliendo ayades tengades, possidades e explectedes",janero,eclesiástico,42.131845,-0.4078058
CODEA-0836,1574,XVI,Zaragoza,Maluenda,"Fecho fue aquesto en el lugar de Maluenda aldea de la ciudad de Calatayut, a doze días del mes de",janero,del año contado del nacimiento de nuestro señor Jesucristo de mil quinientos setenta y cuatro. Presentes testigos fueron a lo,janero,particular,41.2889872,-1.6171945
CODEA-0876,1276,XIII,Huesca,s.l.,el dito campo plantado e replantado viña de buena planta bien e lealment a poder vuestro del primer mes de,janero,que viene entro ad un año continuo e complido. E vós e sucessores vuestros dedes todos años a Montaragón dentro,janero,eclesiástico,42.1401,-0.408898
CODEA-0878,1276,XIII,Huesca,s.l.,buena e ayades el dito campo plantado e replantado viña de buena planta bien e lealment del primer mes de,janero,que viene entro ad un año continuo e complido e dedes todos años a la prebostría de Montaragón dentro en,janero,eclesiástico,42.1401,-0.408898
CODEA-0899,1399,XIV,Navarra,Olite,Sepan cuantos esta present carta verán VIII día del mes de,janero,en el mercado e en el capitel de la villa de Olit do seían mucha gent de la dita villa,janero,municipal,42.481425,-1.6509767
CODEA-0918,1417,XV,Zaragoza,Calatayud,"e considerantes nós aver tres soldos dineros jacitanos, de aniversario celebradero en cadaún año el vint e cinqueno día de",janero,"por la ánima de Lop d'Esguiva qui fue, en e sobre unas casas de vós Tomás Sánchez de Morata e",janero,eclesiástico,41.3531678,-1.6468455
