ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0627,1348,XIV,Zaragoza,s.l.,"del último testamento de don Pascual Gómez vezino de Alfama, el cual fue feito por Domingo Ramo, notario décimo, falendas",obtubre,anno Domini MCCCXL octavo el tenor de la cual es atal: Item mando e ordeno que los dozientos soldos jaqueses,otubre,particular,41.65629,-0.8765379
CODEA-0742,1348,XIV,Zaragoza,Alhama de Aragón,de las que en mi testamento se contienen feto por el notario deyuso escrito XXVII días andados del mes de,"obtubre,","era MCCCLXXX sexta antes quiero e mando qu'el dito testamento finque a todos tiempos firme e valedero en todas cosas,",otubre,particular,41.2974165,-1.8936504
CODEA-0742,1348,XIV,Zaragoza,Alhama de Aragón,mis bienes muebles e seyentes do quiere que son e serán. Feto en Alfama XXVIII días andados del mes de,"obtubre,","Testimonios: Domingo <…> e Domingo Estevan vezinos de Alfama. Signo de mí Estevan Perén, notario por actoridat del señor rey",otubre,particular,41.2974165,-1.8936504
CODEA-0276,1270,XIII,Valladolid,"Monasterio de Valbuena, San Bernardo","Bodega Domingo Miguel, don Tomás. Esta carta fue fecha en el monesterio de Valbuena el primer día del mes de",ochubre,en la era de mil e trezientos e ocho años.,otubre,particular,41.629444,-4.261389
CODEA-0043,1272,XIII,Burgos,Burgos,por la gracia de Dios electo de Ávila pus en ella mio seello. Data en Burgos yueves XII días de,"ochubre,",era de mill e trezientos e diez años e yo Martín Vásquez pus y mío seello.,otubre,particular,42.3439925,-3.696906
CODEA-0058,1309,XIV,Ávila,Ávila,"fijo de Domingo Pascual e Juan Pérez, sacristán de la eglesia de Santo Tomé. Esto fue yueves, XXIII días de","ochubre,","era de mill e CCCXLVII años. Yo Martín Pérez de Soria escrivano público en Ávila por Garci Pérez, despensero en",otubre,eclesiástico,40.656685,-4.6812086
CODEA-0121,1302,XIV,Valladolid,Medina del Campo,les confirmo. E non fagan ende ál por ninguna manera. La carta leída dátgela. Dada en Sevilla doze días de,"ochubre,",era de mill e CCC e XIX años. Yo Ferrán Domínguez la fiz escrevir por mandado del rey. Pedro Fernández.,otubre,cancilleresco,41.3081627,-4.9154766
CODEA-0311,1363,XIV,Cáceres,Trujillo,"e Joan Pérez Chamorro e Martín Sánchez fijo de Joan Sánchez, vezinos de Trujiello. Fecha en Trujiello, treze días de","ochubre,","era de mil e cuatrocientos años. E yo García Mateos escrivano público sobredicho, fui presente a esto que dicho es",otubre,eclesiástico,39.4595379,-5.8802356
CODEA-0398,1290,XIII,Guadalajara,Atienza,"carta mio siello colgado de cera en testimonio. E esto fue fecho e otorgado en Atiença domingo, VIII días de","ochubre,",era de mill e trezientos e veinte e ocho años. E d'esto fueron testigos rogados e presentes: Miguel García e,otubre,eclesiástico,41.1981179,-2.8708039
CODEA-0402,1351,XIV,Valladolid,Valladolid,"signo porque yo sepa en cómo cumplides mio mandado. La carta leída dátgela.Dada en Valladolit, veinte e nueve días de","ochubre,",era de mill e trezientos e sesenta e siete años. Joán Gonçález la fiz escrivir por mandado de García Pérez,otubre,cancilleresco,41.6294336,-4.2616986
CODEA-0411,1325,XIV,Salamanca,s.l.,Primero día de,"ochubre,","era de mill e trecientos e sessenta e tres años en presencia de mí Domingo Sancho, escrivano por Durant Blásquez,",otubre,particular,40.96497,-5.663047
CODEA-1113,1284,XIII,Zamora,Zamora,"e al escusado todo el daño dobrado e non fagades ende ál. Dada en Çamora, veinte e un día de","ochubre,",era de mill e trezientos e veinte e dos años. Yo Sancho Martínez la fiz escrevir por mandado del rey.,otubre,cancilleresco,41.5034712,-5.7467878
CODEA-0415,1235,XIII,León,Ponferrada,toda vía fique la carta firme en sou robramiento. Fecha ye la carta en Ponferrada VII dies por andar de,ochubre.,"Era Mº CCª LXXª IIIª. Regnava el rey don Ferrando en Toledo e en Castella, e en León e en",otubre,particular,42.5499958,-6.5982589
CODEA-3199,1323,XIV,Huelva,Gibraleón,que comience veinte e dos días del mes de agosto e que dure fasta ocho días andados del mes de,ochubre.,"Et d'este tiempo que sean los diez días primeros de venida, e los diez días postremeros de ida, e el",otubre,municipal,37.3748375,-6.9695467
CODEA-0034,1643,XVII,Zaragoza,Zaragoza,una de las partes de su justicia por auto probeído por los del mi consejo en veinte y tres de,otubre,de mil y seiscientos y cuarenta y uno se mandó corriese el despacho en favor de la dicha ciudad en,otubre,cancilleresco,41.6488226,-0.8890853
CODEA-0034,1643,XVII,Zaragoza,Zaragoza,de junio de mil y seiscientos y cuarenta y dos se conformó en todo el de veinte y tres de,otubre,"de seiscientos y cuarenta y uno como lo podía mandar ver por los dichos autos y papeles, provisión y otros",otubre,cancilleresco,41.6488226,-0.8890853
CODEA-0184,1634,XVII,Guadalajara,Guadalajara,ante el presente escrivano y testigos en la dicha ciudad de Guadalaxara a veinte y seis días del mes de,otubre,de mill y seiscientos y cuarenta y tres años. Y lo firmó el que supo y por los que dixeron,otubre,judicial,40.632489,-3.1601699
CODEA-0188,1652,XVII,Guadalajara,Taracena,en el día de su otorgación en el sello cuarto a Melchor de Magro. Gutiérrez. En Guadalaxara en dos de,otubre,"de mill y seiscientos y cinquenta y cuatro di traslado a don Jil Cimbrón, en el sello cuarto doy fee.",otubre,judicial,40.6540034,-3.1271584
CODEA-0204,1521,XVI,Álava,Vitoria,las dichas cosas pasadas que dimos en esta ciudad de Vitoria a veinte y cinco días d'este presente mes de,otubre,de quinientos y veinte y un años en que se espresa largamente todo lo que toca a los dichos dos,otubre,cancilleresco,42.8591656,-2.6817918
CODEA-0204,1521,XVI,Álava,Vitoria,a cadaúno que lo contrario hiziere. Dada en la ciudad de Vitoria a veinte y ocho días del mes de,otubre,año del nacimiento de Nuestro Salvador Jesucristo de mil y quinientos y veinte y un años. Yo Pedro de <…>,otubre,cancilleresco,42.8591656,-2.6817918
CODEA-0261,1552,XVI,Madrid,Madrid,nuestra merced y de diez mil maravedís para la nuestra cámara. Dada en Monçón a nuebe días del mes de,otubre,de mil y quinientos y cinquenta y dos años. Yo el príncipe. Yo Juan Vázquez de Molina secretario de su,otubre,municipal,40.4167754,-3.7037901
CODEA-0261,1552,XVI,Madrid,Madrid,de diez mil maravedís para la nuestra cámara. Dada en la villa de Madrid a quinze días del mes de,otubre,de mil e quinientos y cinquenta y dos años. Va sobre raído do dize “curtidos” y entre renglones “adobado a,otubre,municipal,40.4167754,-3.7037901
CODEA-0383,1528,XVI,Cáceres,Trujillo,"la villa de Cabañas que es del señor conde de Oropesa, a veinte y nueve días del dicho mes de",otubre,del dicho año de mil y quinientos y diez y ocho años ante el dicho señor juez y por ante,otubre,judicial,39.4595379,-5.8802356
CODEA-0383,1528,XVI,Cáceres,Trujillo,"la villa de Cabañas que es del señor conde de Oropesa, a veinte y nueve días del dicho mes de",otubre,del dicho año de mil y quinientos y diez y ocho años ante el dicho señor juez y por ante,otubre,judicial,39.4595379,-5.8802356
CODEA-0383,1528,XVI,Cáceres,Trujillo,"de Logrosán término y juredición de la dicha ciudad de Trugillo, a veinte y siete días del dicho mes de",otubre,del dicho año de mil y quinientos y diez y ocho años ante el dicho señor juez pareció presente el,otubre,judicial,39.4595379,-5.8802356
CODEA-0574,1586,XVI,Salamanca,Salamanca,"hiçieron ante Francisco Pérez escrivano del número de la villa de Alva, a beinte e seis días del mes de",otubre,del año pasado de mil y quinientos y diez años como de la dicha escritura consta a la cual me,otubre,eclesiástico,40.9701039,-5.6635397
