ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-1344,1502,XVI,León,Monasterio de San Andrés de Espinareda,"año por la medida de Astorga metá trigo e metá centeno, por la fiesta de Santa María del mes de",setembre,puesto de cada año en paz e en salvo en la dicha cibdad de Astorga e más un par de,setiembre,eclesiástico,42.725369,-6.654985
CODEA-3900,1809,XIX,Asturias,Oviedo,NA,Setembre,5 de 1809. Señores de la Junta y gobierno del Principado de Obiedo: saberán bostedes de las picardías del juez,setiembre,particular,43.36026,-5.844759
CODEA-0381,1319,XIV,Valladolid,Monasterio de Vega,aquí a Monester de Vega a salvo a toda nuestra costa cada año cinco cargas por la Santa María de,"setembre,",so pena de media fanega de trigo por cadaún día cuantos días pasasen del dicho plazo en delante e por,setiembre,particular,42.23,-5.180833
CODEA-0426,1399,XIV,León,Monasterio de San Andrés de Espinareda,al convento del dicho monesterio la otra que furon feitas enno dicho monesterio vinte e cinco días del mes de,"setembre,",año del nacimiento del Nuestro Salvador Jesucristo de mill e trezientos e noventa nueve años. Testigos qui presentes furon: Lope,setiembre,eclesiástico,42.725369,-6.654985
CODEA-0500,1297,XIII,Valladolid,s.l.,la carta sobredicha e concertado con ella ante los que sus nombres escrivieron en fin d'él en dos días de,"setembre,","era de mill e trezientos e treinta e cinco años Yo Pero López fijo de don Lorenço, só testigo. E",setiembre,cancilleresco,41.65295,-4.728388
CODEA-0661,1334,XIV,Asturias,s.l.,carta e esta vençón que vos yo fago vala e sea firme para siempre. Fecha vinte e cuatro días de,"setembre,",era de mill e CCC e setaenta e dos años. Testigos: Fernán Alfonso capellán de Santo Andrés de Agüera; Suer,setiembre,eclesiástico,43.36026,-5.844759
CODEA-2180,1286,XIII,Toledo,Toledo,"ende testigos a los que sus nombres escrivirán en fin d'esta carta que fue fecha en Toledo, ocho dias de","setembre,",era de mille e CCCos e veinte e cuatro años. Á ý emendado en esta carta ó dize “mueble”. Yo,setiembre,particular,39.8628316,-4.0273231
CODEA-2181,1295,XIII,Toledo,Toledo,"como la otra e cualquier que parezca d'ellas vala assí como si amas parecessen. Fechas en Toledo, diez días de","setembre,",era de mil e trezientos e treinta e tres años. Á ý escrito entre las reglas ó dize “d'este Sant,setiembre,particular,39.8628316,-4.0273231
CODEA-0381,1319,XIV,Valladolid,Monasterio de Vega,Era de mill e trezientos cincuanta e siete años cuatro días de,setembre.,"Sepan cuantos esta carta vieren cómo yo Garcí Pérez e yo doña Marina so mogier, vezinos e moradores en Melgar",setiembre,particular,42.23,-5.180833
CODEA-0423,1270,XIII,León,Ponferrada,que ouviesse me tornaría por ello e a ellos pecharié todo el daño doblado. Dada en Oña ocho días de,setembre.,Pedro Pérez de León la fizo por mandado de maestre Gómez. Era de mill e CCC e ocho años e,setiembre,eclesiástico,42.5499958,-6.5982589
