ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0005,1278,XIII,Segovia,Segovia,"lo que oviessen me tornaría por ello. Dada en Segovia XVIII días de julio, era de mil e CCC e",seze,años. Yo Joán Ferrández la fiz escrevir por mandado del rey.,seze,cancilleresco,40.9429032,-4.1088068
CODEA-0531,1282,XIII,Burgos,Burgos,"que lo fiziesse pechrié a mí en coto cient moravedís a ellos todo el daño doblado. Dada en Burgos viernes,",seze,días de mayo era de mil e trezientos e ocho años. Yo Ferrand Martínez de Burgos la fiz escrivir por,seze,cancilleresco,42.3439925,-3.696906
CODEA-0613,1416,XV,La Rioja,Monasterio de Santa María de Nájera,dicho monesterio veinte e un días de abril año del nacimiento del Nuestro Señor Jesucristo de mill e cuatrocientos e,seze,"años. D'esto son testigos que fueron presentes Martín García e Gonçalo Martínez vezinos de Leza; e Pedro, fijo de Juan",seze,particular,42.416111,-2.735639
CODEA-0838,1506,XVI,Zaragoza,Calatayud,testaments no los pueda compellir antes porque an menester tempo para fazerlo bien. Item assí mesmo atendido dexo sían comprados,seze,blandones de cada cuatro libras de cera pora mi mortorio y fulnerias agora quiero y mando por el present codicillo,seze,particular,41.3531678,-1.6468455
CODEA-1122,1285,XIII,Guadalajara,Atienza,"E porque esto sea firme e estable mandamos seellar este privilegio con nuestro seello de plomo fecho en Atiença martes,",seze,días andados del mes de enero era de mill e CCC e veint e tres años. E nós el sobredicho,seze,cancilleresco,41.1981179,-2.8708039
CODEA-2066,1343,XIV,Guadalajara,Molina de Aragón,"por nueve días e por todo los dichos Pascual Martínez e <…> Pérez e Francisco Pérez desmojonadores. Fecha en Ciellas,",seze,"días de agosto era de mill e trecientos e ochenta e un años. E yo Ferrand Pérez, escrivano público de",seze,particular,40.346674,-1.8850569
CODEA-0987,1310,XIV,La Rioja,s.l.,de riedra e de salvedat e fiador deudor e pagador con mí mesmo ensemble e cadaúno por el todo de,seçe,libras de bonos dineros moneda corrible en el regno de Navarra de pena sabudament e nombradament a don Pedro Ochoa,seze,particular,42.46577,-2.449995
CODEA-0987,1310,XIV,La Rioja,s.l.,"e fiador deudor e pagador cadaúno por el todo por convenio e postura, que vos demos e paguemos las sobredicha",seçe,"libras de bonos sanchetes de pena las coatro libras pora la señoría mayor de Navarra por tal que faga valler,",seze,particular,42.46577,-2.449995
CODEA-1716,1599,XVI,Madrid,Madrid,las criaturas a sus mayordomos y así esta noche nos an echado esa criatura. Los vezinos se an llegado esos,deziséis,reales y esas embolturas. Vuestra Merced la reziva por mi cuenta que la tendré d'esa casa como siempre.,dieciséis,particular,40.4167754,-3.7037901
CODEA-2094,1719,XVIII,Soria,Fuentelárbol,"saber escribir lo firmó de los testigos el que supo a su ruego, en el dicho lugar de Fuentelárbol, a",deziséis,días de el mes de agosto d'este presente año de la fecha de mil y setezientos y decinuebe años. A,dieciséis,particular,41.6034109,-2.7723803
CODEA-3588,1522,XVI,Cáceres,Jaraicejo,En la villa de Xaraisejo a,deziséis,días del mes de junio año del nacimiento de Nuestro Salvador Jesucristo de mil e quinientos e veinte e dos,dieciséis,particular,39.667778,-5.813056
CODEA-3590,1532,XVI,Cáceres,Plasencia,En la cibdad de Plazencia a,deziséis,días del mes de otubre año del nacimiento de Nuestro Salvador Jesucristo de mil y quinientos e treinta y dos,dieciséis,particular,40.0420954,-6.0838065
CODEA-3596,1545,XVI,Cáceres,Cáceres,veinteidosén que parece que costó cinco mil y seiscientos y ochenta; dos velartes (costaron treinta mil maravedís); otro velarte (costó,deziséis,"mil y quinientos maravedís); treinta y tres varas de otra friseta negra a cuarenta y cuatro la vara, mil y",dieciséis,particular,39.4752765,-6.3724247
CODEA-3596,1545,XVI,Cáceres,Cáceres,"ocho maravedís; seis bocacíes en mil y veinte maravedís; veinte y cuatro varas de bocacíes de colores, en ochocientos y",deziséis,"maravedís; media pieça de sarga que era quinze varas, en dos mil y quinze maravedís; una fusteda negra, en mil",dieciséis,particular,39.4752765,-6.3724247
CODEA-3596,1545,XVI,Cáceres,Cáceres,"trezientos y veinte y cinco maravedís; dos tornasoles (el uno falto de seis varas), en dos mil y setecientos maravedís;",deziséis,"varas de tafetán negro senzillo a ochenta maravedís la vara, mil y duzientos y ochenta maravedís; tres varas de tafetán",dieciséis,particular,39.4752765,-6.3724247
CODEA-3603,1564,XVI,Cáceres,Cáceres,dorada; una taça labrada de vidro de pie alto con su caxa de palo; otras dos copas comunes de vidrio;,deziséis,pieças de barro colado entre chicas y grandes; dos barriles de barro el uno de barro colado; un pavellón de,dieciséis,particular,39.4752765,-6.3724247
CODEA-3497,1734,XVIII,Granada,Granada,"estén y abiendo parido mi ermana una niña y á quedado buena. Manuel, al portador, qu'es un muchacho de unos",diesiséis,"años darás un real de a ocho. Granada, nobiembre 2 de 1734. Quien t'estima, Josef Morales.",dieciséis,particular,37.1773363,-3.598557
CODEA-2916,1810,XIX,Guadalajara,Alcocer,de tres días para sacar en la provincia de Gua<da>lagara 4000 hombres; aquí no piden número fijo pero alistan desde,diezisái<s>,asta cincue<n>ta. De un día a otro se esperan unas quintas regurosas y así en esta orden incluyen a todos,dieciséis,particular,40.471111,-2.609722
CODEA-2100,1608,XVII,Badajoz,Mérida,"un pie que es una tercia de vara, el cual pie o tercia tiene de lonxitud cuatro palmos geométricos o",dieziséis,dedos atravesados. Y ansimismo á de tener la dicha gavera una sesma de ancho que será la mitad de su,dieciséis,particular,38.9191439,-6.340805
CODEA-2781,1713,XVIII,Córdoba,Córdoba,no. Acá no ay nobedá ninguna más que quejarse de los agostos. Nosotros bendimos ayer una fanega de zebada a,dieziséis,reales siendo así que para el biaje de Frazquito a doze y oy el trigo a beinte y ocho. Ya,dieciséis,particular,37.8881751,-4.7793834
CODEA-3004,1706,XVIII,Madrid,Alcalá de Henares,"y señor don Francisco Salazar se pusieron en las casas de Ayuntamiento. Más ziento y bentitrés reales, del gasto de",dieziséis,hachas que se pusieron en las casas de Ayuntamiento de la plaza del mercado d'esta ciudad. Más dos libras de,dieciséis,municipal,40.4819791,-3.3635421
