ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0223,1210,XIII,Palencia,s.l.,Ciella <…> Petro abad. Ferrant Gozálvez metió fiador de sanamiento a Gonzalvo Ferrández e facer otorgar a sos ermanos e,seer,pagados e Gozalvo Fernández metió fiador a Ferrant Gozálvez de sí e de sos ermanos de sanamiento. Testes de doña,seer,eclesiástico,42.01246,-4.531175
CODEA-2167,1221,XIII,Toledo,Toledo,fique al arzobispo don Rodrigo e a sus sucessores después de sus días del archidiácono don Migael Estévanez. E por,seer,estas cartas mais firmadas mandamos ý meter nuestros seellos. Nós,seer,particular,39.8628316,-4.0273231
CODEA-2168,1226,XIII,Toledo,s.l.,"esta composición que de suso es dicha otórgola e confírmola e pongo ý mio seello, e otorgo de fazerla siempre",seer,firme e estable.,seer,particular,39.85678,-4.024476
CODEA-0160,1230,XIII,Palencia,San Andrés de Arroyo,con plazemiento de amas las partidas e fallé por pesquisa derechera que aquel molino e aquellas heredades sobredichas que devién,seer,"del monesterio de Oña derechamientre e di por caídos a fijos de Garci Ferrera e a sos herederos, e que",seer,cancilleresco,42.702222,-4.3825
CODEA-0451,1233,XIII,Palencia,s.l.,amen. Saban los qui agora son e los que an por,seer,que yo Ferrand Ivanes de San Felizes de Ceya e mie madre María Fagúndez fazemos atal plecto e atal firmamento,seer,particular,42.01246,-4.531175
CODEA-2175,1237,XIII,Toledo,s.l.,dizen Mohomat. Mando a mi ermana doña Teresa la mi mora la cual dizen Fatomilla. Mando que si Fátima quisiere,seer,cristiana que sea horra e que·l den su lecho todo con toda su ropa e todos sus vestidos. Si non,seer,eclesiástico,39.85678,-4.024476
CODEA-2175,1237,XIII,Toledo,s.l.,que sea horra e que·l den su lecho todo con toda su ropa e todos sus vestidos. Si non quisiere,seer,cristiana otrosí que·l den su lecho todo e todos sus vestidos assí cuemo es dicho. E fágola horra. Mando a,seer,eclesiástico,39.85678,-4.024476
CODEA-0256,1242,XIII,Palencia,s.l.,<su>elo que fue de Domingo Chico que fue ya derribado otra vez sobre esta razón e esta casa á a,seer,derribada desde la espina de la pared del uerto fasta la otra espina del cantar de fuera en sesquino e,seer,eclesiástico,42.01246,-4.531175
CODEA-1205,1243,XIII,Valladolid,Valladolid,la cuarta parte sea término de Villanueva e las tres partes sean término de Montiel; e en este logar deven,seer,puestos buenos mojones porque este departimiento d'estos términos sea siempre sabudo. A la parte de Albaladejo es término de Villanueva,seer,cancilleresco,41.6294336,-4.2616986
CODEA-1205,1243,XIII,Valladolid,Valladolid,"Villanueva e assí como los de Villanueva lavravan e tenién el día que esta carta fue fecha, e deven ý",seer,puestos buenos mojones porque este departimiento d'estos términos sea siempre sabido e de la otra parte como tenía del mojón,seer,cancilleresco,41.6294336,-4.2616986
CODEA-1205,1243,XIII,Valladolid,Valladolid,"la otra parte como tenía del mojón que es entre Villanueva e Montiel e como va derechamientre a Turra, e",seer,"en Turra el un mojón e Turra es de Alcaraz, e desend adelant a la Fuente del Puerco el otro",seer,cancilleresco,41.6294336,-4.2616986
CODEA-0317,1245,XIII,León,s.l.,"eredat demandar o esta carta quebrantar sea maldito e descomungado, amen, e peche en coto LVI morabetinos, ie esta eredat",seer,doblada en tal logar o en mejor. X días por andar del mes de novembrio regnante el rey don Fernando,seer,particular,42.59988,-5.571752
CODEA-0001,1251,XIII,Sevilla,Sevilla,jurados e dos alcaldes assí como sobredicho es. Otrossí mando que los menestrales non echen suerte en el judgado por,seer,"juezes ca el juez deve tener la seña, e tengo que si <a> afruenta viniesse o a logar de periglo",seer,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,vós el concejo de Guadalfajara que embiássedes vuestros omnes buenos de vuestro concejo a mí por cosas que avía de,veer,e de fablar convusco por buen paramiento de vuestra villa. E vós embiastes vuestros omnes buenos ante mí e yo,seer,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,villa a villa; e de la pendra de los ricos omes e de los cavalleros que sea así como solié,seer,en tiempo del rey don Alfonso mio visauelo fata que yo salga allá a la tierra. Que non pendren bueis,seer,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,"E mando que nengún moro nin nenguna mora non sean osados de tornar judío nin judía moro nin mora, nin",seer,en fecho nin en consejo de tornallos; e los que lo fiziessen o fuessen en consejo de lo fazer mando,seer,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,"lo tornasse que me peche C maravedís, fuera si fuessen sus cativos, e en sus cativos sea assí como solía",seer;,e si non oviere de qué me peche aquellos C maravedís que esté en mi prisión fata que me los,seer,cancilleresco,37.3890924,-5.9844588
CODEA-1464,1253,XIII,León,s.l.,ovier que non querá lavrar ne aprovechar assí cumo deve tomar el orden el sou quiñón de aquél. E nós,seer,tenudus de amar el monesteriu ya elas suas cosas. E nós prior de San Marcus ya elos freires amarvos e,seer,eclesiástico,42.59988,-5.571752
