ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0239,1224,XIII,Palencia,s.l.,"vida tal ración cada año: XLVIII almudes de trigo por vino V moravedís, por carne IIII moravedís o qui lo","vala,","por pescado moravedí e mediu por leña moravedí e mediu, duas cuartas de manteca, VIII quesos los IIII vacunos los",Tipo vala,eclesiástico,42.01246,-4.531175
CODEA-0161,1230,XIII,Palencia,San Andrés de Arroyo,"de Castiella e de Toledo otorgo este donadío que fizo el abad e el convento de Oña, e mando que",vala,por en todos sos días d'estos sobredichos e después de sos días que torne todo al monesterio derechamientre.,Tipo vala,cancilleresco,42.702222,-4.3825
CODEA-0451,1233,XIII,Palencia,s.l.,fazemos a María Domínguez peche·l en cocto C morabedís e sobre esso el firmamento e el plecto esté firme e,vala.,E que este plecte haya mayor firmedumbre mandamos fazer duas kartas partidas por abecedario e cadaúno tenga la sue carta.,Tipo vala,particular,42.01246,-4.531175
CODEA-0256,1242,XIII,Palencia,s.l.,Joán del Campo so pena de C moravedís de estar por ello e lo que ellos dixieren que todavía que,vala;,e nós otrosí don García Gutiérrez abat e el convento de Aguilar otorgamos de cumplir cuanto estos tres devandichos o,Tipo vala,eclesiástico,42.01246,-4.531175
CODEA-0256,1242,XIII,Palencia,s.l.,a Domingo Ivanes de los Molinos so pena de C moravedís de cumplirlo e lo que ellos mandaren todavía que,vala.,"E nós sobredichos don Martín prior de Fusiellos, e don García Roíz Sarmiento e Pedro Roíz Calderón todos tres de",Tipo vala,eclesiástico,42.01246,-4.531175
CODEA-0256,1242,XIII,Palencia,s.l.,cumpliesse o non lo fiziesse cumplir que peche la pena de los C moravedís e todavía el nuestro mandamiento que,vala.,E nós don Tello devandicho obispo por nós e por nuestro cabillo recebimos este juizio e prometemos e otorgamos de,Tipo vala,eclesiástico,42.01246,-4.531175
CODEA-0505,1248,XIII,Sevilla,Sevilla,quisiere Sevilla que vos cambiaré estos sex mill morabedís en heredat a vuestra voluntad en logar o en logares que,valan,de renda estos sex mill morabedís. E dar vos lo é por heredat con mi carta plomada que lo ayades,Tipo vala,cancilleresco,37.3890924,-5.9844588
CODEA-0001,1251,XIII,Sevilla,Sevilla,como de las aldeas que las aldeas fuessen apartadas de la villa e la villa de las aldeas que non,valan.,E mando e defiendo firmemientre que ninguno non sea osado de venir contra esta mi carta nin de quebrantarla nin,Tipo vala,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,pierda los brisones e el que por más lo comprare que peche X maravedís e pierda los brisones. De cuánto,vala,escudo e siella de cavallo e de rocín: E mando que las armas escudo e siella de cavallo e pintar,Tipo vala,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,"e con siella de rocín de sen al la mejor, con freno e con peitral colgado e dorado, que non",vala,más por todo de XXXV maravedís; e si el vendedor por más vendiere o el comprador por más comprare que,Tipo vala,cancilleresco,37.3890924,-5.9844588
