ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0023,1599,XVI,Guadalajara,Lupiana,pide la gracia al Concejo de Guadalajara de que el molino de azeite que era del Bachiller Gonzalo Ruiz no,caiga,en comiso.,Tipo traiga,judicial,40.6103251,-3.053237
CODEA-0286,1503,XVI,Madrid,Madrid,por el mismo fecho haya perdido e pierda el pan que así vendiere o por que pidiere más e demás,caiga,e incurra en pena de quinientos maravedís por cada hanega que vendiere la cual dicha pena se repartirá en la,Tipo traiga,cancilleresco,40.4167754,-3.7037901
CODEA-0286,1503,XVI,Madrid,Madrid,"so pena qu'el que vedare la dicha saca agora sean justicia, e regidores e los dueños de los dichos lugares,",caiga,cada uno d'ellos en pena de cincuenta mill maravedís para la nuestra cámara e el que lo sacare fuera de,Tipo traiga,cancilleresco,40.4167754,-3.7037901
CODEA-0910,1406,XV,Zaragoza,Calatayud,soldos de cens e trehúdo perpetuo en el dito día cadaún año o quinze días depués que la sobredita pieça,caiga,e seya caída en comiso a mí e a la dita capellanía e a los succesores míos qui por tiempo,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0910,1406,XV,Zaragoza,Calatayud,"ni valga en judicio o fuera de judicio antes aquella sía e finque nula, irrita e vana de ninguna valor,",caiga,e sía caída en comiso e apropiada luego tan tost a la dita capellanía; e yo e mis sucesores qui,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0910,1406,XV,Zaragoza,Calatayud,"sobreditas espacificadas o declaradas, que tal vendición, agenación non tienga ni valga [o fuera de judicio, antes la dita pieça",caiga,e seya caída en comiso e apropiada a la dita capellanía e me pueda en aquélla entrar asín como patrón,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0944,1455,XV,Zaragoza,Calatayud,fanegas de trigo de cens e trehúdo perpetuo en el dito término o quinze días aprés que la dita pieça,caiga,e sea caída en comisso a nós e a la dita iglesia e successores nuestros e ganada e apropriada ad,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0944,1455,XV,Zaragoza,Calatayud,"ni valga en judicio ni fuera de judicio antes aquéllas sían e finquen nulas, írritas e de nengún valor, e",caiga,"e sía caída la dita pieça en comisso e apropriada luego de continent a la dita eglesia, con todo e",Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0944,1455,XV,Zaragoza,Calatayud,"declaradas que tal vendición e alienación no tenga ni valga en judicio ni fuera de judicio, antes la dita pieça",caiga,e sía caída en comisso e finque apropriada a la dita iglesia e a nós e a nuestros successores qui,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0944,1455,XV,Zaragoza,Calatayud,o los vuestros o cualesquiere posseidores o detenedores de la dita pieça alienávades o alienarán aquélla que sía caída e,caiga,en comisso. Encara es condición que vós ni los vuestros ni cualesquiere otras personas que la dita pieça tendrán e,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-2218,1616,XVII,Badajoz,Orellana la Vieja,"pedírsele se me conceda no usaré d'él si aprovecharme quisiere, no bala, y sea abido por perjuro e infame, y",caiga,en caso de menos baler; y tantas cuantas vezes me fuere concedida la dicha adsulución tantas de nuebo buelba a,Tipo traiga,particular,39.00505,-5.534274
CODEA-2871,1734,XVIII,Salamanca,Santidad,"empeñarse por los de Villavieja que tanto respetan a los amos como a los criados y, así el primero que",caiga,que lleve el repollo y pague las tajadas para que lleve las nuevas a los demás. Sírvase Vs. de darle,Tipo traiga,particular,40.94254,-5.44519
CODEA-0913,1407,XV,Zaragoza,Calatayud,"ni valga en judicio ni fuera de judicio antes aquélla sía e finque irrita, e vana, e de ninguna valor","caiga,",e sía caída en comisso e apropiedadas luego tan tost a la dita iglesia; e nós e nuestros sucessores o,Tipo traiga,eclesiástico,41.3531678,-1.6468455
CODEA-0374,1458,XV,Toledo,Toledo,"lo así non guardáremos o contra ello fuéremos o pasáremos en manera alguna avidos por perjuros, infames, e fementidos, e",caigamos,en caso de menos valer e en todas las otras penas e casos en que incurren los que quebrantan juramento,Tipo traiga,municipal,39.8628316,-4.0273231
CODEA-0034,1643,XVII,Zaragoza,Zaragoza,se dieren en contrario sean obedecidas y no cumplidas sin que ninguno de los interesados ni personas a quien tocare,caigan,ni incurran en las penas que en las dichas provisiones se les impusieren de las cuales los reliebo y he,Tipo traiga,cancilleresco,41.6488226,-0.8890853
