ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0415,1235,XIII,León,Ponferrada,Ponz por atal pleito vos dou estas arras e vos vendo esta heredat que vós doña Aldonza Alfonso non me,la,podades vender nen dar por falago nen por amenaza que vos yo faga menos de dous propinquos vostros de los,Múltiple - No,particular,42.5499958,-6.5982589
CODEA-0489,1237,XIII,Cuenca,Cuenca,yo non avía ý derecho ninguno en demandarlo. E yo prometí al obispo e a don abat que nuncua yo,les,demande ni otro omne por mí e si yo lo demandare o otro omne por mí que peche al monasterio,Múltiple - No,eclesiástico,40.0703925,-2.1374161
CODEA-0504,1239,XIII,Burgos,Burgos,avuelo que avién en Poza que eran del vestiario de los monges. Ond vos mando firmemientre que pues yo assí,lo,"fallé por privilegio de mio avuelo que lo an a aver que les dedes estos trezientos morabedís pora so vestiario,",Múltiple - No,cancilleresco,42.3439925,-3.696906
CODEA-1209,1240,XIII,Sevilla,Sevilla,"montes e con ríos, e con fuentes, e con pastos, e con logares yermos e poblados, assí como nuncua mejores",los,ovo en tiempo de moros. E yo retengo pora mí e pora mio señorío aquellos derechos <…> Çambra como los,Múltiple - No,cancilleresco,37.3890924,-5.9844588
CODEA-0471,1253,XIII,Asturias,s.l.,en esta iglesa ja decha jur nen possessión ca del monesterio ye el jur ye la possessión e nós assí,lo,mandamos por derecho; e logo nós mandadores desuso dechos Joán de Bio e Gonzalvo Pédriz e Pedro Alfonso mandamos outrosí,Múltiple - No,eclesiástico,43.36026,-5.844759
CODEA-2135,1268,XIII,Sevilla,Sevilla,"los herederos que les non fagan mal nin tuerto, nin fuerça. Et otrossí que el abbat nin el convento non",les,"vayan a boz sin querelloso nin les fagan responder a ella sinon en muerte, o en feridas de omne, o",Múltiple - No,cancilleresco,37.3890924,-5.9844588
CODEA-0707,1272,XIII,Burgos,Burgos,e al convento meter las uvas e el vino de sus casas en vuestra villa e si lo suyo non,les,abondasse que metiessen ý de compra. Agola el prior querollósseme que lo non queriedes fazer e d'esto só maravillado cómo,Múltiple - No,cancilleresco,42.3439925,-3.696906
CODEA-0538,1273,XIII,Toledo,Toledo,tercero plazo por Sant Sabastián. Este arrendamiento comiença por Sant Sabastián de era de doze. E si por aventura non,los,"pagássedes a estos plazos como es dicho, que pechedes la pena que es puesta por cabildo. E nós don Andrés",Múltiple - No,eclesiástico,39.8628316,-4.0273231
CODEA-2639,1274,XIII,Valencia,Valencia,carta vieren salud e gracia. El concejo de Murcia me enviaron dezir de cómo algunos de vós en vuestros logares,les,embargades que non compren viandas nin ganados nin otras cosas que an mester pora comer. Et esto non tengo yo,Múltiple - No,cancilleresco,39.4699075,-0.3762881
CODEA-0806,1275,XIII,Huesca,Quicena,al prebost de Montaragón en el tiempo que yes usado de dar vós o qui las dictas casas d'aquí adenant,los,tenrá cad'año e a todos tiempos. Vós est faciendo e cumpliendo tenent e possedit las dictas casas livras e quitas,Múltiple - No,particular,42.1471369,-0.3598312
