ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-1732,1252,XIII,Sevilla,Sevilla,sea en los árboles que son fuera de las villas e en los árboles que son dentro en las villas,cual árbol quier,que sea que peche XX maravedís al que perdió el árbol; e qui escachare rama o cortare por,Presencia,cancilleresco,37.3890924,-5.9844589
CODEA-1732,1252,XIII,Sevilla,Sevilla,de sacar açor nin falcón nin gavilán de mios regnos si no fuere con mio mandado; e el que sacare,cual ave quier,d'estas de mios regnos que peche el ave doblada e peche demás en coto C maravedís por cada,Presencia,cancilleresco,37.3890924,-5.9844589
CODEA-0473,1226,XIII,Asturias,Oviedo,"heredat cuanta avemos o a aver devemos de avolenga o de compra, o de ganancia, o de concambia o de",cual guisa quier,"que la avemos en villas nonmadas: Covas Aguera, Ciodres, Castañera; toda cuanta en estos logares ja dechos avemos",Presencia,eclesiástico,43.3613953,-5.8593267000000004
CODEA-0103,1301,XIV,Ávila,Ávila,"abremos d'aquí adelante mueble e raíz, de quienquier que vos demandare o vos contrallare por cual razón quier o en",cual manera quier,todo esto que dicho es o parte d'ello a vós don Velasco Blásquez el dicho o a quienquier,Presencia,particular,40.656685,-4.6812086
CODEA-0116,1301,XIV,Ávila,Ávila,e misiones en juizio e fuera d'él contra cualquier ome o omes que vos lo quisieren embargar o contrallar en,cual manera quier.,E otrossí vos otorgamos nós los dichos vendedores e vos prometemos que todas estas cosas que dichas son,Presencia,particular,40.656685,-4.6812086
CODEA-0116,1301,XIV,Ávila,Ávila,"e raízes ganados e por ganar, por óquier que los ayamos, de quienquier que demandare, o contrallare o embargare en",cual manera quier,"cuantos todos estos algos sobredichos o alguna cosa d'ellos a vós el dicho Sancho Ferrández, o a quien",Presencia,particular,40.656685,-4.6812086
CODEA-0584,1393,XIV,León,Sales de los Barrios,todo el derecho qu'el dicho Martín Alfonso en ellas avía así de fecho como de derecho como quier e en,cual manera quier.,Porque otorgo e conosco que rescibí de vós por ellas en precio e en rovración e en pagamiento,Presencia,eclesiástico,42.594079,-5.595826
CODEA-0584,1393,XIV,León,Sales de los Barrios,de <…> estos dichos bienes a todo tiempo de quienquier que vos los demandar embargar o contrariar comoquier e en,cual manera quier,a vós e a quien vuestra voz tovier. E porque esto sea firme e non venga en dulda,Presencia,eclesiástico,42.594079,-5.595826
CODEA-0787,1325,XIV,Zamora,Zamora,compra doblada e según fuero de Çamora mande. E cuanto derecho en esta dita viña ey o podría aver en,cual manera quier,"todo lo renuncio e lo parto de mí e dólo a vós el dicho Joán Martínez, con el",Presencia,particular,41.5034712,-5.7467879
CODEA-1732,1252,XIII,Sevilla,Sevilla,passare que yo gelo viede assí como qui passa mandamiento de rey e de sen or. E el arriero o,cual menestral quiere,que lo ficiere que·l corten el polgar e si no·l pudieren aver que peche C maravedís en coto;,Presencia,cancilleresco,37.3890924,-5.9844589
