ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-2263,1475,XV,Valladolid,Medina del Campo,de diez mill maravedís para la nuestra cámara e demás mandamos al omne que les esta nuestra carta mostrare que,l<e>s,emplaze que parezcan ante nós en la nuestra corte doquier que nós seamos del día que los emplazare fasta quinze,Sí,cancilleresco,41.3081627,-4.9154766
CODEA-0404,1430,XV,Asturias,Pravia,e que dende en adelante que le non faga embargo ninguno en ellos e le pongo silenzio perpetuo que non,les,perturben nin enquienten más sobre la dicha razón. E otrosí lo <…> a restetuición de los esquilmos de los dichos,Sí,judicial,43.4875717,-6.111489
CODEA-0092,1301,XIV,Ávila,Ávila,"Miguel Domingo e a Domingo Mateos, e a Ivañes Mateos, e a Domingo Andrés, e a Domingo Lázaro, e que",les,pueda peindrar por sí o por otre tan bien por el principal como por el doblo si non pagaren estos,Sí,particular,40.656685,-4.6812086
CODEA-0093,1301,XIV,Ávila,Ávila,"Miguel Domingo e a Domingo Mateos, e a Ivañes Mateos, e a Domingo Andrés, e a Domingo Lázaro, e que",les,pueda peindrar por sí o por otre tan bien por el principal como por el doblo si non pagaren estos,Sí,particular,40.656685,-4.6812086
CODEA-2602,1303,XIV,Badajoz,Badajoz,en todo segund que en ella dize. Et defiendo firmemientre que ninguno non sea osado de les ir nin de,les,passar contra ella nin contra esta merced que les yo fago en ninguna cosa por ninguna manera ca cualquier o,Sí,cancilleresco,38.8794495,-6.9706535
CODEA-2602,1303,XIV,Badajoz,Badajoz,ninguna cosa por ninguna manera ca cualquier o cualesquier que contra ella e contra esta merced que les yo fago,les,passassen en alguna cosa pechar me ían en pena mill maravedís de la moneda nueva. Et a los dichos domingo,Sí,cancilleresco,38.8794495,-6.9706535
CODEA-1884,1426,XV,Badajoz,Mérida,"dicho Ruy Sanches alcaide de Covillana, o a otro cualquier alcaide que después d'él fuere de la dicha Covillana, que",les,"non perturbe nin juquiere, nin viede, nin moleste nin defienda al dicho concejo de Mérida, nin a las personas singulares",Sí,judicial,38.9191439,-6.340805
CODEA-1884,1426,XV,Badajoz,Mérida,"e de Araya e de la isla de Juan Antón qu'el dicho Ruy Sanches Furtado, llamándose alcaide de Covillana, que",les,perturba de usar de las cosas susodichas en las dichas dehesas contra rasón e derecho. Por ende que nos pedía,Sí,judicial,38.9191439,-6.340805
CODEA-0712,1315,XIV,Burgos,Burgos,"Bezares pagando cuanto les montare en estos quinze pecheros que les yo pongo en cabeça, que les non preindades nin",les,afinquedes por más vós nin otro ninguno por vós en ninguna manera so pena de cient maravedís de la moneda,Sí,cancilleresco,42.3439925,-3.696906
CODEA-1211,1512,XVI,Burgos,Burgos,la iglesia de Santiago mandaste citar algunos vezinos de la dicha villa sobre los dichos botos y porque no parecieron,les,"condenaste en ciertas costas e que después un procurador de la dicha villa pareció ante vós, e <…> las dichas",Sí,cancilleresco,42.3439925,-3.696906
CODEA-0341,1326,XIV,Burgos,Burgos,cossas que ovieren de vender de comprar para huetos de su monesterio e mando que ninguno non sea ossado de,les,"contrallar nin de preindar en todo mio regno d'ellos nin a sus omnes, por las cossas que ovieren de vender",Sí,eclesiástico,42.3439925,-3.696906
CODEA-1431,1392,XIV,Burgos,Burgos,"que agora son como a los que serán d'aquí adelante e a cadaúno d'ellos que gelo non consientan, mas que",les,defiendan e amparen con la dicha mercet en la manera que dicha es e que prenden en los bienes de,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0739,1417,XV,Burgos,Burgos,consintades e que·l prendades por la dicha pena e la guardedes para fazer d'ella lo que nós mandáremos. E que,les,defendades a ellos e a todas las sus cosas e que <…> desonra nin mal ninguno. E non fagades ende,Sí,cancilleresco,42.3439925,-3.696906
CODEA-1431,1392,XIV,Burgos,Burgos,mi carta mostrar o el traslado d'ella signado de escrivano público sacado con abtoridat de juez o de alcalle que,les,emplace que parescan ante mí en la mi corte del día que los emplazar a quince días primeros siguentes so,Sí,cancilleresco,42.3439925,-3.696906
CODEA-1211,1512,XVI,Burgos,Burgos,el dicho nombre nos suplicó e pidió por merced que pues fast'aquí nunca avían pagado los dichos botos que non,les,fatigásedes sobr'ello o como la nuestra merced fuese. Por ende nós vos rogamos y encargamos que si ansí es que,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0006,1285,XIII,Burgos,Burgos,privilegios e mandamos que valan en todo assí como en ellos dize. E defendemos que ninguno non sea osado de,les,passar contra ellos nin de los minguar en ninguna cosa. Ca cualquier que lo fiziesse avrié nuestra ira e pechar,Sí,cancilleresco,42.3439925,-3.696906
CODEA-1107,1292,XIII,Burgos,Burgos,al adelantado e a los merinos que andudieren ý por nós en essa tierra que non consientan a ninguno que,les,passe nin les vaya contra esta merced que·l nós fazemos. E non fagan ende ál por ninguna manera. E d'esto·l,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0673,1304,XIV,Burgos,Burgos,"suyo a los que vinieren a este mercado sobredicho nin les fagan fuerça nin tuerto nin otro mal ninguno, nin",les,passe contra esto que yo mando. <…> alguno o algunos les pasaren contra esto que yo mando que·l peindren por,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0673,1304,XIV,Burgos,Burgos,fagan fuerça nin tuerto nin otro mal ninguno nin les passe contra esto que yo mando. <…> alguno o algunos,les,pasaren contra esto que yo mando que·l peindren por la pena de los mil moravedís sobredichos e los guarden para,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0341,1326,XIV,Burgos,Burgos,de escrivano público que a cualquier que contra esto que sobredicho es e contra alguna cosa d'ello les fuere e,les,pasare e ninguna manera que les peindren por las penas sobredichas e que las guarden para fazer d'ellas lo que,Sí,eclesiástico,42.3439925,-3.696906
CODEA-0739,1417,XV,Burgos,Burgos,"fuerça nin tuerto, nin otro mal ninguno a ellos nin a las sus cosas que del dicho monesterio sean, nin",les,pasen contra esto que sobredicho es que cualquier o cualesquier que lo feziesen pechar nos ían en pena mill maravedís,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0859,1289,XIII,Burgos,Burgos,"cogedores sobrecargas, arrendadores, pesqueridores o a cualesquier otros que los nuestros pechos o las nuestras yantares ovieren de recabdar, que",les,non peindren nin les tomen ninguna cosa de lo suyo por razón de yantar ca cualquier que lo fiziesse avríe,Sí,cancilleresco,42.3439925,-3.696906
CODEA-0673,1304,XIV,Burgos,Burgos,E defendo firmemiente que ninguno non sea osado de les fazer fuerça nin tuerto nin otro mal ninguno nin de,les,peindrar nin de les tomar ninguna cosa de lo suyo por ninguna cosa ellos pagando los derechos que ovieren a,Sí,cancilleresco,42.3439925,-3.696906
