ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-1732,1252,XIII,Sevilla,Sevilla,que non críe cristiano nenguno e la que esto passare que peche en coto X maravedís cada día cuantos días,le,toviere. Otrossí mando que ningún omne non saque nin escuse a ninguno de los mios moros de pecho ca el,Sí - contable,cancilleresco,37.3890924,-5.9844588
CODEA-0123,1302,XIV,Valladolid,Medina del Campo,"fizo a mí infante don Joán, fijo del muy noble rey don Alfonso, que Pero Martínez, mio alcaide en Oropesa,",le,desapoderara de las eglesias de Oropesa e de Torralva e de Lagartera e de la Corchuela e de la Calçada,Sí - contable,cancilleresco,41.3081627,-4.9154766
CODEA-0401,1351,XIV,Valladolid,Valladolid,fincase que lo así non fiziesen que·l emplazen que parezca ante mí do quier que yo sea del día que,le,"emplazaren a nueve días so pena de los mill moravedís sobredichos, a dezir por qué non cumplen esto que yo",Sí - contable,cancilleresco,41.6294336,-4.2616986
CODEA-0140,1353,XIV,Toledo,Talavera de la Reina,el dicho Toribio Ferrández por que sea prior de la dicha eglesia de Santa María e rogámosvos que·l recibades e,le,instituyades en prior e administrador de la dicha eglesia e le encomendedes la cura de las almas de los perroquianos,Sí - contable,municipal,39.962884,-4.8304536
CODEA-2459,1389,XIV,Ávila,Ávila,de los dichos aniversarios de cada año que sea fecho saber al presente <escrivano> público de mi linage e si,le,non ovier que se faga saber al mayor del linage de sant Joán. E desde oy día que esta <carta>,Sí - contable,eclesiástico,40.656685,-4.6812086
CODEA-1343,1406,XV,Valladolid,Valladolid,"agora son como a los que serán de aquí adelante e a cadaúno d'ellos que gelo non consientan, mas que",le,defiendan e amparen con la dicha merced en la manera que dicha es e que prenden en bienes de aquellos,Sí - contable,cancilleresco,41.6294336,-4.2616986
CODEA-0346,1407,XV,Valladolid,Piñel de Abajo,tome la boz por vós e vos pare en salvo e sin daño; e si costa o misión fizierdes por,le,"defender en juizio o fuera de juizio, vós que seades creído por vuestra palabra llana sin jura e sin testigo",Sí - contable,eclesiástico,41.6742214,-4.1468979
CODEA-0388,1433,XV,Cáceres,La Puebla de Guadalupe,carta del dicho señor conde don Sancho en que mandava a los alcaldes de la dicha villa de Medellín que,le,metiesse luego en el señorío e en la tenencia e possessión e propriedat de la dicha dehesa. E luego el,Sí - contable,particular,36.4752765,-6.3724247
CODEA-0262,1437,XV,Toledo,Polán,mío para que con él si le quisierdes oír mejor que este otro día que en la ora que llegó,le,mandastes echar de la cibdad sea platicada la cosa por tal manera que lo primero paresca mi obidiencia a la,Sí - contable,particular,39.7871361,-4.1680139
CODEA-0262,1437,XV,Toledo,Polán,"se escandalize la tierra do bivimos embíovos, señores, al sobredicho vuestro jurado e criado mío para que con él si",le,quisierdes oír mejor que este otro día que en la ora que llegó le mandastes echar de la cibdad sea,Sí - contable,particular,39.7871361,-4.1680139
CODEA-0313,1447,XV,Cáceres,"Monasterio de Guadalupe, La Puebla de Guadalupe","dicha posesión más complidamente sacó de otra cosa ( casa) a Gonçalo Martín, morador en la dicha aldea e que",le,puso por su mano; e otrosí sacó de otra casa a una muger que dizen doña Toribia e que la,Sí - contable,particular,39.452778,-5.3275
CODEA-0487,1447,XV,Toledo,Toledo,nin contra parte d'ello ella nin otro alguno por ella en tiempo del mundo por alguna manera e otrosí de,le,redrar e defender e amparar e fazer sanas las dichas casas de cualquier persona o personas que gelas demanden o,Sí - contable,particular,39.8628316,-4.0273231
CODEA-2349,1455,XV,Ávila,Ávila,"de su sino sin dineros, so pena de privación del oficio, el cual por el mesmo fecho aya perdido, e",le,privo d'él e le mando e defiendo que d'él más non use so pena de caer en pena de falsario,Sí - contable,cancilleresco,40.656685,-4.6812086
CODEA-0550,1479,XV,Alicante,"Monasterio de la Virgen de las Virtudes, Villena","en cada año fiziere su limosna primeramente que en cada año de su vida pueda escoger un confesor, el cual",le,asuelva de todos sus pecados salvo de los reservados a la Santa Sé apostólica; más que si la tal persona,Sí - contable,eclesiástico,38.6251,-0.933178
CODEA-0024,1502,XVI,Guadalajara,Guadalajara,e de derecho devía la cumpliese en todo e por todo segund que en ella se contiene; e aquélla cumpliendo,le,pusiese en la posesión de la dicha mezquita e de las otras casas e cosas e censos a la dicha,Sí - contable,judicial,40.632489,-3.1601699
CODEA-0290,1503,XVI,Madrid,Alcalá de Henares,ant'el alcalde mayor d'esa dicha cibdad los dichos ochocientos maravedís; e que así mismo al tiempo que la dicha cibdad,le,nombró para lo susodicho se asentó por auto en el libro del concejo que se le sastifaría su trabajo segund,Sí - contable,cancilleresco,40.4819791,-3.3635421
CODEA-0172,1504,XVI,Guadalajara,Guadalajara,"Orvina regidor de la dicha cibdad, cavallo o un esclavo o otras cosas de dineros o joyas por razón que",le,esperase en la cobrança que tiene de sus <…> o porque le prestase dineros el dicho Diego Ortiz o en,Sí - contable,judicial,40.632489,-3.1601699
CODEA-1454,1504,XVI,Valladolid,Medina del Campo,qu'el dicho Alonso Díaz se metió en la iglesia del dicho logar a donde diz qu'está retraído e acogido e,le,favorecen sus parientes. Por ende que nos suplicavan e pedían por merced sobre ello los proveyésemos de remedio con justicia,Sí - contable,cancilleresco,41.3081627,-4.9154766
CODEA-1284,1505,XVI,Segovia,Segovia,mando que examinedes para el dicho oficio de escrivanía a la persona qu'el dicho Juan de Bustamante nombrare e si,le,fallardes ábile e suficiente señalalde la provisión que para usar el dicho oficio fuere necesario para que yo la libre.,Sí - contable,cancilleresco,40.9429032,-4.1088068
