ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-1322,1573,XVI,Madrid,Madrid,de nuestros reinos en aquello que avía lugar de derecho y avían fecho el aranzel de que hizo presentación suplicándonos,le,"mandásemos ver y confirmar, y aprovar y dar nuestra carta de confirmación d'él para que conforme a él los juezes,",Sí - contable,cancilleresco,40.4167754,-3.7037901
CODEA-2390,1454,XV,Ávila,Ávila,"qu'el arroyo que pasa a par del dicho prado que quede libre e que vós el dicho Juan Gutiérrez, non",le,ocupedes e que vaya por do agora va. La cual dicha donación vos fago por muchos cargos que de vós,Sí - contable,particular,40.656685,-4.6812086
CODEA-1125,1287,XIII,Zamora,Toro,él al mundo e éste bien es guiador de la su alma ante Dios. E por non caer en olvido,le,mandaron los reyes poner en escrito en sos privilegios porque los otros que regnassen depués d'ellos e toviessen el so,Sí - contable,cancilleresco,41.5274417,-5.3913374
CODEA-1742,1555,XVI,Valladolid,Valladolid,"dicha razón e yo túbelo por bien. Por la cual vos mando que veáis el dicho capítulo de corregidores, y",le,"guardéis y cumpláis, y executéis, e hagáis guardar, y cumplir y executar en todo y por todo según y como",Sí - contable,cancilleresco,41.6294336,-4.2616986
CODEA-1438,1520,XVI,Córdoba,Córdoba,y también lo merece que vuestra merced tenga manera con el señor cardenal cómo no quede sin cargo pues siempre,le,"á tenido él por bien siguro lo tiene entendiendo vuestra merced en ello, y a mí me hará mucha merced",Sí - contable,particular,37.8881751,-4.7793834
CODEA-1075,1591,XVI,Huelva,Gibraleón,cargo me holgué como tan servidor de vuestra merced. Plega Dios que muy largos años le goze vuestra merced y,le,dexe con cosas de mucha ventaja. Del señor Cabrera supe tenía vuestra merced salud y estava en esa ciudad de,Sí - contable,particular,37.3748375,-6.9695467
CODEA-1075,1591,XVI,Huelva,Gibraleón,le avía sucedido en el cargo me holgué como tan servidor de vuestra merced. Plega Dios que muy largos años,le,goze vuestra merced y le dexe con cosas de mucha ventaja. Del señor Cabrera supe tenía vuestra merced salud y,Sí - contable,particular,37.3748375,-6.9695467
CODEA-2081,1596,XVI,Toledo,Toledo,regla. Y de renmaderar un colgadiso tozco con que no entre escuadra ni codal ni juntera en ello. De cual,le,hallamos ávil y suficiente y nos dio buena cuenta d'ello y por ser verdad lo firmamos de nuestros nombres. Fecha,Sí - contable,particular,39.8628316,-4.0273231
CODEA-0802,1555,XVI,Valladolid,Valladolid,susodicho están hechas hasta que se confirmen las que de nuevo se hizieren combiene a saber cada concejo las que,le,incumben y que las guardas que á acostumbrado poner la dicha villa de Alcalá sean puestas y se pongan en,Sí - contable,cancilleresco,41.6294336,-4.2616986
CODEA-1071,1591,XVI,Huelva,Gibraleón,no aber imbiado asta ora trigo á sido porque como me pasé de paso al condado de Niebla el cual,le,allo de manera que lo que se dicía a lo que ay es como lo bibo co lo pintado porque,Sí - contable,particular,37.3748375,-6.9695467
CODEA-3488,1512,XVI,Huesca,Huesca,"Iglesia y este es uno de los deseos en creo que sirbo más a Nuestro Señor, al que·l suplico me",le,otorgue y guarde la muy ilustre y reberendísima persona de vuestra señoría con tanta prosperidad consolación y descanso como su,Sí - contable,particular,42.131845,-0.4078058
CODEA-2577,1557,XVI,Toledo,Toledo,y que no tuvo otro propósito ni fundamento la dicha plática sino sobre que era aquel día de viernes y,le,holgavan los moros. Y que este dicho Juan de Flores es convertido de moro y assí se apartó de lo,Sí - contable,judicial,39.8628316,-4.0273231
CODEA-0006,1285,XIII,Burgos,Burgos,"confirma. Don Pay Gómez almirante de la mar, confirma. Roy Páez, justicia de casa del rey, confirma. Yo, Roy Martínez,",le,fiz escrevir por mandado del rey en el año segundo que el rey sobredicho regnó.,Sí - contable,cancilleresco,42.3439925,-3.696906
CODEA-0992,1596,XVI,Madrid,Alcalá de Henares,"de Alfaro en la dicha comisión contenida le saqué del original, el cual va cierto y verdadero, siendo testigos a",le,"ver corregir y concertar Andrés de Contreras y Diego Gómez de Toro, alguaziles d'esta villa, en veinte e nueve de",Sí - contable,judicial,40.4819791,-3.3635421
CODEA-0140,1353,XIV,Toledo,Talavera de la Reina,posesión del dicho prioradgo con todas las rentas e derechos al dicho Toribio Ferrández e lo defienda en ello e,le,signe <…> con todos derechos e rentas que al dicho prioradgo pertenece e apremie por nuestra agtoridat a los contradictores,Sí - contable,municipal,39.962884,-4.8304536
CODEA-0487,1447,XV,Toledo,Toledo,"Joán Sánchez cacero, por sí e en nombre de la dicha su muger, este público instromento de testimonio por otro",le,"fiz escrevir segunt ante mí pasó el cual va escrito en esta foja d'este pergamino, e va salvado lo emendado",Sí - contable,particular,39.8628316,-4.0273231
CODEA-0606,1364,XIV,Valladolid,Mayorga,ser privado de su posesión e segund derecho cualquier deve de correjer su error de antes que otro mayor juiz,le,correja e segund esto que dicho é de antes que fuese por sentencia determinada que si las dichas tres cuartas,Sí - contable,eclesiástico,42.1662402,-5.2645258
CODEA-0992,1596,XVI,Madrid,Alcalá de Henares,la dicha nuestra villa y a otras cualesquier personas d'ella a quien de nuestra parte se le pidiéredes que vos,le,den y hagan dar tan cumplidamente como sea necesario con las cárceles y prisiones que menester oviéredes so las penas,Sí - contable,judicial,40.4819791,-3.3635421
CODEA-1450,1595,XVI,Murcia,Murcia,si para ello favor e ayuda oviéredes menester mando a cualesquier justicias y personas a quien le pidiéredes que vos,le,den so las penas que les pusiéredes. Dada en la ziudad de Murcia a primero día del mes de abril,Sí - contable,judicial,37.9922399,-1.1306544
CODEA-0027,1546,XVI,Madrid,Madrid,e no los reciban. Otrosí qu'el herrete de los cortidores le tengan los fieles de cada mes y que no,le,"tenga el veedor. E que los tales fieles tengan traslado de las ordenanças que tocan a carniceros e pescadores, y",Sí - contable,cancilleresco,40.4167754,-3.7037901
CODEA-0027,1546,XVI,Madrid,Madrid,reciban los regidores dineros para ellas salvo que solamente libren e no los reciban. Otrosí qu'el herrete de los cortidores,le,tengan los fieles de cada mes y que no le tenga el veedor. E que los tales fieles tengan traslado,Sí - contable,cancilleresco,40.4167754,-3.7037901
CODEA-1036,1591,XVI,Madrid,Madrid,"ser muy puntual ora toquen a mí, ora a otros, particularmente si pasan por la piedra de interés; y éste",le,an de aver algunos así por el muerto como por los que somos bivos por eso vuestra merced las mire,Sí - contable,particular,40.4167754,-3.7037901
CODEA-3601,1557,XVI,Cáceres,Serrejón,"e Joán Sánchez Sauzedilla vezinos de la dicha villa. <…>. Lo cual visto por el dicho señor alcalde, dixo que",le,avía e ovo por hecho e que interponía e interpuso a ello su abtoridad e decreto judicial tan bastante como,Sí - contable,particular,39.816964,-5.802778
CODEA-1811,1591,XVI,Madrid,Daganzo de Arriba,"Iten otras treinta fanegas de trigo. E fecho el dicho inventario en la manera que dicha es, el dicho alcalde",le,hobo por bien fecho y mandó a la dicha María Martínez que cada e cuando que a su noticia vinieren,Sí - contable,judicial,40.5450297,-3.4574079
CODEA-1167,1526,XVI,Granada,Granada,Álvar Díaz de Faes el juramento e solinidad que en tal caso se acostumbra fazer el cual por él fecho,le,aya yo e tengáis e recibáis por mi escrivano público del número d'ese dicho concejo en lugar del dicho Garci,Sí - contable,cancilleresco,37.1773363,-3.598557
CODEA-3946,1506,XVI,Orense,Parada del Sil,Villabade el cual dicho lugar fue bendido sin licencia del dicho monasterio de Santa Cristina y por siempre de recobrar,le,"recobramos; y por este caso lo aforamos a bós el dicho Pedro, escudero, e vuestra mujer y bozes, con todas",Sí - contable,particular,42.383056,-7.568889
CODEA-2283,1581,XVI,Cáceres,Coria,y dize que le pesa de no estar ni aver estado levantado para moler al obispo a visitas hasta que,le,acavara. Á'stado su señoría en una cura que aunque á sido hart<o> temeraria espero en Dios á de quedar d'ella,Sí - contable,particular,39.9880324,-6.5369785
CODEA-1169,1526,XVI,Granada,Granada,"número del dicho concejo do resulta que quanto al número que dize no hizo la relación que deviera, porque siempre",le,ay y le ubo y ansí parece por la relación de los dichos títulos; y en cuanto a lo que,Sí - contable,municipal,37.1773363,-3.598557
CODEA-1169,1526,XVI,Granada,Granada,"mi título por el cual consta que la dicha mi escrivanía es del número, y que ay número e siempre",le,ubo en el dicho concejo e juro a Dios qu'es bueno e verdadero e como deve <…> quiero <…>. En,Sí - contable,municipal,37.1773363,-3.598557
CODEA-1169,1526,XVI,Granada,Granada,"concejo do resulta que quanto al número que dize no hizo la relación que deviera, porque siempre le ay y",le,ubo y ansí parece por la relación de los dichos títulos; y en cuanto a lo que dize que ay,Sí - contable,municipal,37.1773363,-3.598557
CODEA-1167,1526,XVI,Granada,Granada,"cosas a él concernientes segund que lo usan y exercitan los otros escrivanos públicos del número d'ese dicho concejo, e",le,"guarde yo e haga yo guardar todas las honras gracias, mercedes, franquezas, livertades y esenciones de que por razón del",Sí - contable,cancilleresco,37.1773363,-3.598557
CODEA-1167,1526,XVI,Granada,Granada,ello ni en parte d'ello embargo ni contrario alguno le non pongan ni consientan poner ca yo por la presente,le,recibo e é por recibido al dicho oficio de escrivanía pública e al uso y exercicio d'él e le doy,Sí - contable,cancilleresco,37.1773363,-3.598557
CODEA-1757,1535,XVI,Madrid,Madrid,fazen que otro de su oficio se obligue de pagar las dichas costas e derechos e de otra manera no,le,quieren soltar. Mandamos que de aquí adelante no se haga así ni le apremien a que busque fiador para lo,Sí - contable,cancilleresco,40.4167754,-3.7037901
CODEA-0929,1579,XVI,Madrid,Madrid,tengáis más por vuestro teniente en ella y le quitéis luego la vara del dicho oficio sin dar lugar aque,le,use más. Y no fagáis ende ál so pena de la nuestra merced y de diez mil maravedís para la,Sí - contable,cancilleresco,40.4167754,-3.7037901
CODEA-1789,1588,XVI,Madrid,Daganzo de Arriba,"Testigos los dichos. E luego el dicho alcalde mandó al dicho Juan Gonçález que acepte el dicho oficio, el cual",le,"aceptó e d'él el dicho alcalde tomó e recivió juramento en forma de derecho sobre la señal de la cruz,",Sí - contable,judicial,40.5450297,-3.4574079
CODEA-1271,1597,XVI,Madrid,Madrid,dicho oficio con las calidades que aora se le añaden por el tiempo que vuestra magestad fuere servido que así,le,use en todo mandará vuestra magestad lo que más a su real servicio convenga. Dios guarde la católica persona de,Sí - contable,eclesiástico,40.4167754,-3.7037901
CODEA-2732,1573,XVI,Valladolid,Simancas,"muy engañado que yo no tengo de qué ni por qué ni para quién, pues yo oficio del rey no",le,"puedo pretender pues veneficio no tengo hijos para quien querello, y demás d'esto, ya que pudiera ser, soy tan desinteresada",Sí - contable,particular,41.5909697,-4.8300298
CODEA-2274,1510,XVI,Toledo,Talavera de la Reina,e así lo digo e confieso por quanto antes e al tiempo que vos le vendí yo busque quien me,le,comprase e no hallé quien tanto ni más me diese por él como vós la dicha señora doña María de,Sí - contable,particular,39.962884,-4.8304536
