ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0345,1407,XV,Segovia,Segovia,Gutier Pérez Gutier Pérez Ferrando. E agora el abat e el convento del dicho monesterio de Valbuena embiáronme pedir merc<ed>,<l>es,confirmase la dicha carta e la mercet en ella contenida e <gela> mandase guardar e complir. E yo el sobredicho,No,cancilleresco,40.9429032,-4.1088068
CODEA-0007,1295,XIII,Valladolid,Valladolid,de los otros omnes bonos que <…> ordenamos damos e confirmamos e otorgámosles estas cosas para siempre jamás: primeramente que,<les,"confirmamos> sus fueros e sus privilegios e cartas e franquezas e libertades, e usos e costumbres que ovieron en tiempo",No,cancilleresco,41.6294336,-4.2616986
CODEA-0941,1497,XV,Huesca,Huesca,saqué e escrivié e con el original sobredito diligentment comprobé. E porque en judicio e fuera de judicio mayor fe,le,sía atribuida mi signo acostumbrado aquí fize posse e cerré.,No,eclesiástico,42.131845,-0.4078058
CODEA-0763,1428,XV,Teruel,Teruel,"aguas pertenencias e mejoramientos e con todos sus derechos, francos e fazederos, cuantos que á aver puede e deve e",le,"convienen aver e con todas sus bozes, razones, acciones reales e personales al dito capítol sobr'el dito huerto convinientes, a",No,particular,41.0513827,-0.1325616
CODEA-0749,1519,XVI,Zaragoza,Peñaflor,"pertinencias e mejoramientos cualesquiere que todo el dicho güerto tapiado suso confrontado á tiene, e aver puede y deve, e",le,"conviene e pertenece aver tener, convenir y pertenecer le puede y deve en cualquiere manera e por cualquiere causa, drecho,",No,eclesiástico,41.7610053,-0.7966751
CODEA-0393,1386,XIV,Madrid,Alcalá de Henares,que algunos dizen que si aquellos que an señorío de algunos lugares non an privilliejos en que se contenga que,le,es dada señaladamente la justicia que los señores que an los lugares non la puedan aver aunque lo ayan pescrivido,No,cancilleresco,40.4819791,-3.3635421
CODEA-1090,1494,XV,Valladolid,Medina del Campo,"Pedro Gutiérrez su provisor, como solía, que protestava e protestó que cosa de lo contenido en la dicha carta non",le,pueda parar nin pare perjuizio a su derecho nin de sus subcesores cerca de la juridición que su señor tiene,No,eclesiástico,41.3081627,-4.9154766
CODEA-0722,1390,XIV,Cantabria,Monasterio de Santo Toribio de Liébana,"estos dichos casares vos damos con entradas e con salidas con huertos, e era e corral, e con lo que",le,pertenece e pertenecer debe. Esto vos damos para que seades vasallos del monesterio de Santo Toribio e mío e de,No,eclesiástico,43.150333,-4.654339
CODEA-0784,1420,XV,Zamora,Benavente,este dicho poder; los cuales así declarados con entradas e con salidas e con todos sus derechos e pertenencias cuantas,le,pertenecen e pertenecer deven de fecho e de derecho vos vendemos e otorgamos en el dicho nombre por ciento e,No,particular,42.0028837,-5.6784691
CODEA-0104,1301,XIV,Ávila,Ávila,"es con sus entradas e con sus sallidas e con todos sus usos e con todos sus derechos, assí como",le,"pertenecen a todas partes por trezientos e ochaenta maravedís que distes por ello en dineros bien contados, e passaron todos",No,particular,40.656685,-4.6812086
CODEA-0108,1301,XIV,Ávila,Ávila,todo que dicho es vos vendo con sus entradas e con sus sallidas e con todos sus derechos assí como,le,"pertenescen a todas partes por seiscientos maravedís de la moneda, que fazen diez dineros el maravedí, que me distes por",No,particular,40.656685,-4.6812086
