ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0007,1295,XIII,Valladolid,Valladolid,es contra fuero. Otrossí que cuando fuéremos en alguna villa que non tomen vianda ninguna para nós a menos que,la,mandemos pagar. E lo que tomó el rey don Sancho nuestro padre e la reína nuestra madre que lo mandemos,No,cancilleresco,41.6294336,-4.2616986
CODEA-0008,1383,XIV,Valladolid,Medina del Campo,allegado contra los dichos arrendadores en aquello que avían dicho que eran quitos e esentos de pagar moneda e que,la,nunca pagaran en tiempo de los reyes que fueron en Castiella nin en el nuestro fasta aquí e señaladamente cuando,No,cancilleresco,41.3081627,-4.9154766
CODEA-0012,1436,XV,Guadalajara,Guadalajara,concordia con cualesquier reyes e príncipes que sean e especial con aquellos con quien segund los grandes debdos más naturalmente,la,"devemos aver otorgamos e conocemos por estas presentes letras que fazemos, constituimos, criamos e ordenamos por nuestros ciertos especiales procuradores",No,judicial,40.632489,-3.1601699
CODEA-0021,1471,XV,Segovia,Segovia,poderosamente e con mano armada vayades a la casa o logar o fortaleza donde la tal moneda se labrare e,la,destruyades e derribedes fasta la poner por el suelo e prendades los cuerpos e secuestredes los bienes a los oficiales,No,cancilleresco,40.9429032,-4.1088068
CODEA-0021,1471,XV,Segovia,Segovia,vayades a la casa o logar o fortaleza donde la tal moneda se labrare e la destruyades e derribedes fasta,la,poner por el suelo e prendades los cuerpos e secuestredes los bienes a los oficiales e monederos e otras personas,No,cancilleresco,40.9429032,-4.1088068
CODEA-0021,1471,XV,Segovia,Segovia,sepades quién e cuáles personas son las que labran la dicha moneda o llevan oro o plata o cobre para,la,labrar. E a los que por la dicha pesquisa fallardes culpa vós les prendades los cuerpos e secuestredes los bienes,No,cancilleresco,40.9429032,-4.1088068
CODEA-0021,1471,XV,Segovia,Segovia,tanto daño de mis súbditos e naturales e es muy grant pecado e cargo de concencia a todos aquéllos que,la,"labraren contra mi mandamiento. Dada en la muy noble cibdad de Segovia a dos días de enero, año del nacimiento",No,cancilleresco,40.9429032,-4.1088068
CODEA-0071,1288,XIII,Álava,Vitoria,"seisenes nin las meajas, nin las pujesas, nin las doblas d'oro, nin dineros de plata, nin otra moneda ninguna que",la,non saquen fuera de la tierra salvo ende aquellos a que nós lo mandáremos por nuestras cartas. Empero tenemos por,No,cancilleresco,42.8591656,-2.6817918
CODEA-0071,1288,XIII,Álava,Vitoria,"regnos de oro o de plata o de cobre, e la moneda de los novenes que nós mandamos fazer, que",la,puedan sacar. E otrossí por les fazer más bien e más merced e por que los pueblos sean más guardados,No,cancilleresco,42.8591656,-2.6817918
CODEA-0071,1288,XIII,Álava,Vitoria,bien e más merced tenemos por bien que non saquen de nuestros regnos conejuna ninguna nin cera e cualquier que,la,sacare que gelo tomen e que·l tomen cuanto levare por pena. E otrossí por les fazer más bien e más,No,cancilleresco,42.8591656,-2.6817918
CODEA-0130,1372,XIV,Toledo,Toledo,"e ayudas e pedidos e fonsadera cada que las ayamos <a> aver, como yantar en conducho o en dineros, si",la,ý deviéremos aver e cualesquiere otros derechos que a nós pertenescan de los nuestros vassallos que en el dicho logar,No,cancilleresco,39.8628316,-4.0273231
CODEA-0140,1353,XIV,Toledo,Talavera de la Reina,servicios e ayudas e pedidos e <…> cada que los ayamos aver como yantar en conducho o en dineros si,la,ý deviéremos aver e cualesquier otros derechos que a nós pertenescan de los nuestros vasallos que en el dicho logar,No,municipal,39.962884,-4.8304536
CODEA-0203,1599,XVI,Madrid,Madrid,"esta parte ha resultado de haber muchos regatones d'ella ansí vecinos de las dichas ciudades como de otras partes, que",la,tienen comprada antes que se acave de criar y la compran después de criada y en madeja de los criadores,No,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,vecinos de las dichas ciudades como de otras partes que la tienen comprada antes que se acave de criar y,la,compran después de criada y en madeja de los criadores d'ella para la tornar a revender en la misma especie,No,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,antes que se acave de criar y la compran después de criada y en madeja de los criadores d'ella para,la,tornar a revender en la misma especie como diz que lo hacen y que tanvién se hace un gran fraude,No,cancilleresco,40.4167754,-3.7037901
CODEA-0203,1599,XVI,Madrid,Madrid,con ella se teje y obra ni ser tan buenas las sedas y ser defraudados en mucha cantidad los que,la,"compran y gastan para saver lo que en ello pasava y las causas de que ha procedido averse encarecido tanto,",No,cancilleresco,40.4167754,-3.7037901
CODEA-0261,1552,XVI,Madrid,Madrid,no tornarlo a revender. Y ansí mismo que los çapateros puedan curtir y çurrar toda la corambre que quisieren para,la,gastar en sus tiendas en obras y no para lo poder revender a otras personas. E mandamos a los dichos,No,municipal,40.4167754,-3.7037901
CODEA-0275,1515,XVI,Burgos,Burgos,deváis informar para mijor saber la verdad cerca de lo susodicho. E la dicha información habida e la verdad sabida,la,imbiéis ante los del mi consejo para que yo la mande ver e proveer sobr'ello lo que de justicia se,No,cancilleresco,42.3439925,-3.696906
CODEA-0275,1515,XVI,Burgos,Burgos,susodicho. E la dicha información habida e la verdad sabida la imbiéis ante los del mi consejo para que yo,la,mande ver e proveer sobr'ello lo que de justicia se deva fazer. E los unos nin los otros non fagades,No,cancilleresco,42.3439925,-3.696906
CODEA-0283,1470,XV,Segovia,Segovia,"todos poderosamente con mano armada vayades a la casa, o lugar o fortaleza donde la tal moneda se labrare e",la,"destruyades e derribedes fasta la poner por el suelo e prendades los cuerpos e secuestredes los bienes a los ofiçiales,",No,cancilleresco,40.9429032,-4.1088068
CODEA-0283,1470,XV,Segovia,Segovia,vayades a la casa o lugar o fortaleza donde la tal moneda se labrare e la destruyades e derribedes fasta,la,"poner por el suelo e prendades los cuerpos e secuestredes los bienes a los ofiçiales, e monederos e otras personas",No,cancilleresco,40.9429032,-4.1088068
CODEA-0283,1470,XV,Segovia,Segovia,e de todos mis súbditos e naturales e es muy grand pecado e cargo de concencia a todos aquellos que,la,"labran o labraren contra mi mandamiento. Dada en la cibdad de Segovia veinte e cuatro días de deziembre, año del",No,cancilleresco,40.9429032,-4.1088068
CODEA-0285,1473,XV,Segovia,Segovia,la dicha moneda e la que fallasen que era fecha en cualquiera de las dichas mis seis casas de moneda,la,oviesen e fiziesen aver e recebir por buena e la que fallasen que no era fecha en cualquiera de las,No,cancilleresco,40.9429032,-4.1088068
CODEA-0285,1473,XV,Segovia,Segovia,e recebir por buena e la que fallasen que no era fecha en cualquiera de las dichas mis seis casas,la,cortasen e tornasen a su dueño. E a los tales veedores fuese pagado su salario de los propios de cadaún,No,cancilleresco,40.9429032,-4.1088068
