ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0877,1276,XIII,Huesca,s.l.,"afrontaciones el dito molino circundan e encloden assí damos a vós aquéll a trevudo éntegrament con viñas, tierras e possessiones",ascondudas,"e manifiestas e con açudes, e con entradas e con exidas suyas, aguas, dreitos e pertinencias que al dito molino",Presencia,eclesiástico,42.1401,-0.408898
CODEA-0405,1162,XII,La Rioja,s.l.,este fecho sea firme e estable pongo el mio seello en esta carta por testimonio por que ninguno non sea,atrevudo,de ir contra este fecho. D'este fecho son testigos: don Alfonso López e don Joán Alfonso so fijo; e don,Presencia,particular,42.46577,-2.449995
CODEA-1737,1360,XIV,Toledo,Toledo,su seello e con el seello de concejo de la nuestra villa de Alcalá que dizía en esta guisa: Con,oçuda,"cosa sea a cuantos esta carta vieren cómo nós don Sancho por la gracia de Dios arçobispo de Toledo, primado",Presencia,eclesiástico,39.8628316,-4.0273231
CODEA-0463,1270,XIII,León,s.l.,NA,Conezuda,cousa sea a cuantos esta carta viren que eu Martín Migael clérigo de Canedo fillo que fui de Migael Martínez,Presencia,eclesiástico,42.59988,-5.571752
CODEA-0946,1312,XIV,Huesca,Huesca,yes traslat bien e fielment feito e sacado de una carta origenal la tenor de la cual yes atal: Sía,coneçuda,"cosa a todos omnes cómo yo Guillerma Davicenda que estó en Osca, por mí e por todos los míos dó",Presencia,particular,42.131845,-0.4078058
CODEA-0954,1272,XIII,Huesca,s.l.,NA,Coneçuda,"cosa sía e cómo contención fuesse entre don Domenge abat de la glessia de Sant Vicient d'Uesca, de la una",Presencia,eclesiástico,42.1401,-0.408898
CODEA-1238,1278,XIII,Zamora,s.l.,Era Mª CCCª XVIª ocho días de setembrio.,Coneçuda,"cosa sea a cuantos esta carta viren cómo yo Gil Dafonte canóligo de Astorga, sobre demándeda que yo fazía a",Presencia,particular,41.50368,-5.743778
CODEA-0884,1234,XIII,Navarra,s.l.,NA,Conoiçuda,"cosa sea a todos omnes que esta carta verán io don Pero Arcéiz de Arróniz, estando en mi memoria bona,",Presencia,eclesiástico,42.81721,-1.646767
CODEA-0405,1162,XII,La Rioja,s.l.,NA,Conoscuda,cosa sea a todos los omnes que esta carta vieren a los que son agora e a los que son,Presencia,particular,42.46577,-2.449995
CODEA-0846,1275,XIII,Huesca,s.l.,NA,Conoscuda,"cosa sía a todos presentes e por venir cómo nós don Domingo de Guarga e doña María muller suya, ciutadanos",Presencia,particular,42.1401,-0.408898
CODEA-0617,1267,XIII,Cuenca,s.l.,conoçudo que non jelas corten los de Belmont. E otrossí las defesas que fizieren los de Belmont en su término,conosçudo,que non ielas corten los del Villarejo e cualquiere que fuesse fallado cortando en la defesa ajena por de día,Presencia,judicial,40.07183,-2.134005
CODEA-0710,1309,XIV,Cantabria,s.l.,"oyeren cómo nós Sancho Martínez de Anguztiana e Roy Sánchez cabeçaleros de Andrés López de Anguztiana, otorgamos e venimos de",conosçudo,"que entregamos e apoderamos a vós don Garcí Pérez sancristán del monesterio de Santa María de Nágera, en seis obradas",Presencia,eclesiástico,43.46096,-3.807934
CODEA-0428,1274,XIII,León,s.l.,NA,Conozuda,"cousa sea a cuantos esta carta viren e oíren que you García Martínez taullero de Colombranos, dou e outorgo cuanto",Presencia,eclesiástico,42.59988,-5.571752
CODEA-2174,1237,XIII,Toledo,s.l.,NA,Conozuda,"cosa sea a todos los omnes que esta carta viren cumo yo Domingo canónigo de Santa María de Toledo, enfermo",Presencia,eclesiástico,39.85678,-4.024476
CODEA-0167,1249,XIII,Burgos,s.l.,NA,Conoçuda,"cosa sea a todos cuantos ésta vieren cómo yo don Diago López de Faro señor de Vizcaya, vendo a vós",Presencia,particular,42.34087,-3.699731
CODEA-0406,1301,XIV,La Rioja,Cañas,NA,Conoçuda,cosa sea a todos cuantos esta carta vieren e oyeren cómo yo doña Teresa Ivañes priora en el monesterio de,Presencia,eclesiástico,42.177157,-1.7552281
CODEA-0419,1243,XIII,Palencia,s.l.,NA,Conoçuda,"cosa sea a los que son e serán cómo yo don Remón prior de Nogar, con conseyo de don Domingo",Presencia,eclesiástico,42.01246,-4.531175
CODEA-0441,1253,XIII,Asturias,s.l.,NA,Conoçuda,cosa seja a todos cuantos esta carta viren e oíren que yo Gutier García fago carta de vendición a vós,Presencia,eclesiástico,43.36026,-5.844759
CODEA-0528,1274,XIII,León,s.l.,NA,Conoçuda,cosa sea a cuantos esta carta viren cómo yo Joana Paris con otorgamento de meu marido Joán Joanes vendemos a,Presencia,particular,42.59988,-5.571752
CODEA-0595,1270,XIII,Asturias,s.l.,NA,Conoçuda,cosa sea a cuantos esta carta viren e oíren cómo yo Vermud Álvariz fillo de Álvar Vermúdiz e de Sancha,Presencia,eclesiástico,43.36026,-5.844759
CODEA-0616,1250,XIII,Madrid,s.l.,NA,Conoçuda,cosa sea a todos los omes que esta carta vieren como elos que son por venir cuémo yo don Rodrigo,Presencia,particular,40.41669,-3.700346
CODEA-0631,1287,XIII,La Rioja,s.l.,NA,Conoçuda,"cosa sea a todos cuantos esta carta vieren e oyeren cómo yo doña Mayor Furtada fija de don Juan Furtado,",Presencia,eclesiástico,42.46577,-2.449995
CODEA-0687,1262,XIII,La Rioja,Cañas,NA,Conoçuda,cosa sea a todos los omnes qui esta present carta vieren e oyeren cómo yo Diego López de Salzedo dó,Presencia,eclesiástico,42.177157,-1.7552281
CODEA-0688,1292,XIII,La Rioja,Cañas,NA,Conoçuda,cosa sea a cuantos omnes esta carta vieren e oyeren cómo nós la priora e el conviento de Cañas fazemos,Presencia,eclesiástico,42.177157,-1.7552281
CODEA-0710,1309,XIV,Cantabria,s.l.,NA,Conoçuda,cosa sea a todos cuantos esta carta vieren e oyeren cómo nós Sancho Martínez de Anguztiana e Roy Sánchez cabeçaleros,Presencia,eclesiástico,43.46096,-3.807934
CODEA-0760,1276,XIII,Madrid,s.l.,NA,Conoçuda,"cosa sea a todos cuantos esta carta vieren cómo yo Simón e yo Martín Domingo e yo doña Yusta, nós",Presencia,particular,40.41669,-3.700346
CODEA-0780,1281,XIII,Zamora,s.l.,NA,Conoçuda,"cosa sea a cuantos esta carta viren cómo yo María Ferrández fiya de María Domínguez de Arvos, dó a vós",Presencia,eclesiástico,41.50368,-5.743778
CODEA-0839,1263,XIII,Navarra,Monasterio de San Salvador de Leyre,NA,Conoçuda,e manifesta cosa sea a todos aquellos que la present carta verán que nós don Sancho por la gracia de,Presencia,eclesiástico,42.635278,-1.171667
CODEA-0852,1238,XIII,Navarra,s.l.,NA,Conoçuda,"cosa sía a todos los omnes qui esta carta verán que jo doña Taresa <…> de don García, mancebo, dó",Presencia,eclesiástico,42.81721,-1.646767
CODEA-0858,1285,XIII,La Rioja,s.l.,NA,Conoçuda,cosa sea a cuantos esta present carta verán e odrán cómo yo Martín Gastón e mi muger doña Blanca estando,Presencia,eclesiástico,42.46577,-2.449995
CODEA-0889,1273,XIII,Navarra,s.l.,In Dei nomine.,Conoçuda,cosa sea a cuantos esta present carta verán e odrán cómo nós don fraire Joán de Tarva prior del convento,Presencia,eclesiástico,42.81721,-1.646767
CODEA-0961,1264,XIII,Navarra,Sangüesa,NA,Conoçuda,cosa sía a totz los omnes qui son a present e qui son por venir que esta es carta e,Presencia,particular,42.5744349,-1.283085
CODEA-1173,1277,XIII,Segovia,s.l.,NA,Conoçuda,"cosa sea a cuantos esta carta vieren cómo yo frey Benito de la orden de los predicadores, e fijo de",Presencia,eclesiástico,40.94943,-4.119209
CODEA-1234,1255,XIII,Zamora,Moreruela,NA,Conoçuda,cousa sea a todos los que esta carta viren tan bien elos que agora son como elos que an por,Presencia,eclesiástico,41.7966454,-5.8690196
CODEA-1403,1274,XIII,Madrid,Iglesia de San Miguel,NA,Conoçuda,"cosa sea a todos cuantos esta carta vieren cómo yo don Yuañes fijo de Pero Abbad del Cuatrón, vendo a",Presencia,particular,40.414414,-3.709689
CODEA-2168,1226,XIII,Toledo,s.l.,NA,Conoçuda,cosa sea a los que esta carta vieren que nós los herederos de las aceñas de Medianedo Morziello que son,Presencia,particular,39.85678,-4.024476
CODEA-2176,1239,XIII,Toledo,s.l.,NA,Conoçuda,cosa sea a cuantos esta carta verán cómo nós el cabillo de Santa María de Toledo arrendamos a don Fernando,Presencia,eclesiástico,39.85678,-4.024476
CODEA-2178,1254,XIII,Toledo,s.l.,In Dei nomine.,Conoçuda,cosa sea a cuantos esta carta vieren cómo nós maestro Domingo deán e el cabillo de Santa María de Toledo,Presencia,eclesiástico,39.85678,-4.024476
CODEA-2182,1296,XIII,Toledo,Toledo,NA,Conoçuda,cosa sea a cuantos esta carta vieren cómo nós los contadores que fuemos dados por cabildo los cuales pusiemos nuestros,Presencia,particular,39.8628316,-4.0273231
CODEA-1113,1284,XIII,Zamora,Zamora,"non vaya en hueste él ni otro ninguno por él ni sea prindado por otra razón ninguna, salvo de debda",conoçuda,qu'él mismo aya fecha o de fiadura. E mando e defendo que nenguno non sea osado de ir contra esta,Presencia,cancilleresco,41.5034712,-5.7467878
CODEA-1163,1597,XVI,Madrid,Madrid,todo lo cual y parte d'ello como rita y legítimamente hecho el susodicho muy magnífico señor prior estando sentado etcétera,conoçuda,primero plenamente la causa por el oficio del magistrado interpuso e interpone su autoridad de que usa y del común,Presencia,particular,40.4167754,-3.7037901
CODEA-0617,1267,XIII,Cuenca,s.l.,que non usan bien de su oficio. E mandamos que las defesas que fizieren los del Villarejo en su término,conoçudo,que non jelas corten los de Belmont. E otrossí las defesas que fizieren los de Belmont en su término conosçudo,Presencia,judicial,40.07183,-2.134005
CODEA-0669,1291,XIII,La Rioja,s.l.,"cómo yo doña Alduença abadesa del monesterio de Cañas, con otorgamiento del combento d'esse mesme logar, otorgamos e venimos en",conoçudo,"que cambiamos con vós don Sancho Martínez de Leiva, merino mayor en Castiella, una pieça que emos en término de",Presencia,eclesiástico,42.46577,-2.449995
CODEA-0670,1292,XIII,La Rioja,s.l.,"e Domingo Yuanes e Peidro los sobredichos todos tres de mancomún e cadaúno por el todo, otorgamos e venimos de",conoçudo,"que somos fiadores e deudores a vós Per Yuanes el sobredicho, en boz del convento de Cañas sobredicho, de dar",Presencia,eclesiástico,42.46577,-2.449995
CODEA-1401,1253,XIII,Sevilla,Sevilla,"le diesse Xerez e Lebrixa, e Arcos e Medina que dexasse don Henric Cot e Morón. E esto vengo yo",conoçudo,"que recebí estos dos privilegios de mano de los freires de Calatrava e rompilos, e só pagado del maestro e",Presencia,cancilleresco,37.3890924,-5.9844588
CODEA-1493,1314,XIV,La Rioja,Calahorra,"oyerán cómo yo Garcí Pérez de Ágreda escrivano de don Joán Alfonso de Haro, señor de los Cameros, vengo de",conoçudo,e de manifiesto que laudo otorgo e é por bueno e firme el trebudamiento qu'el abat e el convento de,Presencia,eclesiástico,42.30372,-1.965034
CODEA-0381,1319,XIV,Valladolid,Monasterio de Vega,"yo Garcí Pérez e yo doña Marina so mogier, vezinos e moradores en Melgar de Suso, otorgamos e venimos de",conoçudos,"que recebimos de vós doña Especiosa monja de Monester de Vega, con licencia de Nuestro Señor Jesucristo e de la",Presencia,particular,42.23,-5.180833
CODEA-0858,1285,XIII,La Rioja,s.l.,en nuestro bon seso e en nuestra bona memoria con bon coraçón e bona voluntad e sines premia ninguna somos,conoçudos,e de manifiesto ante omnes buenos que damos a Dios e a Santa María de Fitero e a vós don,Presencia,eclesiástico,42.46577,-2.449995
CODEA-0829,1257,XIII,Zaragoza,Calatayud,e valedera assí como nós la avemos determinada por ciertas afrontaciones de cadaúna de las ditas aldeas como desuso es,"contenudo,",esta carta end sellamos de nuestros siellos por la auctoridat e el mandamiento que del señor rey end avemos segunt,Presencia,municipal,41.3531678,-1.6468455
CODEA-0829,1257,XIII,Zaragoza,Calatayud,señor rey end avemos segunt que en la su carta del rey a nós embiada como desuso es escrita es,contenudo.,<…>,Presencia,municipal,41.3531678,-1.6468455
CODEA-3945,1495,XV,Lugo,Quiroga,notario público en las comendas de Quiroga e Osoño por la Orden de Sant Juan a todo lo susodicho e,contenudo,presente fui con los dichos testigos e por ruego e mandado de las dichas partes esta carta de renunciación e,Presencia,particular,42.475833,-7.271667
CODEA-0430,1256,XIII,Asturias,s.l.,NA,Conuzuda,cousa sea a cuantos esta carta viren e <audiren> que you don Estévano pella gracia de Dios abade de Sant,Presencia,eclesiástico,43.36026,-5.844759
CODEA-1370,1238,XIII,León,s.l.,NA,Conuzuda,"cosa sea a los que agora son e a los que an de venir que yo don Pelae Pedre, pe",Presencia,particular,42.59988,-5.571752
CODEA-1371,1249,XIII,León,s.l.,NA,Conuzuda,"cosa sea a todos <…> escrito que yo Martivañes frere de San Marcos de León, arriendo a vós Rodrigo Ivañes,",Presencia,particular,42.59988,-5.571752
CODEA-1419,1241,XIII,León,León,NA,Conuzuda,cosa sea assí a los presentes como a los otros que vernán que yo Pedro Pelaz ensembra con mía muyer,Presencia,eclesiástico,42.5987263,-5.5670959
CODEA-1456,1247,XIII,León,s.l.,NA,Conuzuda,"cosa sea a todos per este escrito que yo doña Maor Pédrez muyer que fu de don Nuño Flórez, e",Presencia,cancilleresco,42.59988,-5.571752
CODEA-1464,1253,XIII,León,s.l.,NA,Conuzuda,cosa sea per este escritu a todo los que son ya los que an de venir que yo don Moñio,Presencia,eclesiástico,42.59988,-5.571752
CODEA-0566,1259,XIII,Asturias,s.l.,NA,Conuçuda,cosa sea a cuantos esta carta viren ye oíren que yo Martín Gonzálviz con otorgamiento de mia mulier Taresa Menéndiz,Presencia,eclesiástico,43.36026,-5.844759
CODEA-0571,1275,XIII,Asturias,Grado,NA,Coñocuda,"cosa sea <…> esta carta virent cómo yo Fernán Menéndiz, morador en Villa García, fago carta de vendición a vós",Presencia,particular,43.3870548,-6.074386
CODEA-0578,1269,XIII,Asturias,s.l.,NA,Coñocuda,"cosa sea a cuantos esta carta virent cómo nós don Joán de Bio por la gracia de Dios abat, e",Presencia,eclesiástico,43.36026,-5.844759
