ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0466,1206,XIII,Palencia,s.l.,damos e concedimus <…> de don Prioro aquella tierra que es,so,"casa de Petro Cerruma un sunt adlatus ex una part don Roldán, e ex alia part Joanes Cebrián e en",Extensión,particular,42.01246,-4.531175
CODEA-2173,1219,XIII,Toledo,s.l.,"avulo de la vendedor conombrada. E tod esto es en término de Toledo que Deus curie, en la Sisla, con",sos,derechuras de tod aquesto e sos provechos en prados e en regantíos e en pasturas e en labrado e per,Extensión,particular,39.85678,-4.024476
CODEA-2173,1219,XIII,Toledo,s.l.,tod aquesto con entradas e exidas. E issiós d'ello ela vendedor conombrada e apoderó al comprador conombrado e con todas,sos,derechuras con entradas e con exidas como conombrado es pues non ficó a la vendedor conombrada ni a omne per,Extensión,particular,39.85678,-4.024476
CODEA-0416,1233,XIII,Zamora,s.l.,"Morerola per mandado del abat ye del convento. Ye yo don Elo con mies fiyos, ye yo doña Sancha con",mies,fiyos aquesta carta roboramos ye confirmamos ye aqueste signo en ela mandemos fazer. Firmas que viron ye odiron otorgar esta,Extensión,particular,41.50368,-5.743778
CODEA-0416,1233,XIII,Zamora,s.l.,"criado ye yo Pedro Moro, frade de Morerola, per mandado del abat ye del convento. Ye yo don Elo con",mies,"fiyos ye yo doña Sancha con mies fiyos aquesta carta roboramos ye confirmamos, ye aqueste signo en ela mandemos fazer.",Extensión,particular,41.50368,-5.743778
CODEA-0451,1233,XIII,Palencia,s.l.,vino al día de San Martín; e a so finamento de María Fagúndez que den por sue alma VII morabedís.,so,"madre dona Beringuela e con sue mulier reína dona Beatriz en Toledo e en Castiella, e en León e en",Extensión,particular,42.01246,-4.531175
CODEA-0162,1236,XIII,Burgos,s.l.,heredat super escrita don Diago López de Velasco e de fazer otorgar esta véndida super escrita a doña Urraca Roíz,so,"mugier de don Ortí Ortiz e que lo otorgue e qué·s parta per pagada. D'esto son testigos: don Juan cambiador,",Extensión,particular,42.34087,-3.699731
CODEA-0334,1239,XIII,León,León,"en Valdespino que fu de Guter Gutérrez fijo de Guter Lazareno e de Aldonza Velásquez, e Guter Gutérrez diola por",so,alma al convento de Vanevivas; esta eredat vendo ie atorgo por mandamiento del abad don Pedro de Vanevivas e del,Extensión,eclesiástico,42.5987263,-5.5670959
CODEA-0334,1239,XIII,León,León,don Rodrigo Gonzálvez. Merino maor don Moriel. Erederos en Valdespino; e convento de monester de Vega; e Fernán Rodríguez e,so,"ermana María Rodríguez con sos fijos; tenente ela casa don Estevan; merino, Domingo Fijo; qui presentes fuerunt. Joán Palomino confirma,",Extensión,eclesiástico,42.5987263,-5.5670959
CODEA-0334,1239,XIII,León,León,tal logar o en mejor. secundo día de april regnante el re don Fernando en Castiella ie en León con,so,"madre reína doña Berenguela, ie en Toledo ie en Córdova, e con so mujer doña Joana. Maordomo del re, don",Extensión,eclesiástico,42.5987263,-5.5670959
