ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0001,1251,XIII,Sevilla,Sevilla,Guadalfajara que embiássedes vuestros omnes buenos de vuestro concejo a mí por cosas que avía de veer e de fablar,convusco,por buen paramiento de vuestra villa. E vós embiastes vuestros omnes buenos ante mí e yo fablé con ellos aquellas,"Connusco, convusco",cancilleresco,37.3890924,-5.9844588
CODEA-0007,1295,XIII,Valladolid,Valladolid,"<…> e abades e los clérigos a sus lugares, salvo los capellanes que cumplieren para la nuestra capiella, que anden",connusco.,E otrossí que todos los privados que andudieron con el rey don Sancho nuestro padre e todos los otros oficiales,"Connusco, convusco",cancilleresco,41.6294336,-4.2616986
CODEA-0011,1399,XIV,Guadalajara,"Nava Asensio, Matarrubia",nós dados por cada una de las dichas nuestras partes. E rogamos e pedimos a los escrivanos yuso nombrados que,con nós,otros a todo lo sobredicho fueron presentes que nos den ende sendas cartas fechas en un tenor para cada,"Con nosotros, con vosotros",municipal,40.868333,-3.290833
CODEA-0048,1283,XIII,Ávila,Ávila,e amparar e defender los de las otras villas que son nuestras fronteras si el señor de aquel lugar fuere,coñusco,que lieve consigo en nuestra ayuda los omes que ý moraren. E mandamos e defendemos que ninguno non sea osado,"Connusco, convusco",municipal,40.656685,-4.6812086
CODEA-0073,1289,XIII,Ávila,Ávila,parte la calle pública. E otorgó el camio de furielles que su marido don Gil Ferranz e ella ovieron fecho,con nós,el cabildo por la plaza que tomó de nós el sobredicho cabildo que era ante sus casas e por,"Con nós, con vós",eclesiástico,40.656685,-4.6812086
CODEA-0088,1296,XIII,Valladolid,Valladolid,ellos que pechan la martiniega e los otros pechos al obispo de Ávila e vós que les demandades que pechen,convusco,en Ávila. E esto non tengo yo por bien que pues ellos pechan al obispo de Ávila que vós los,"Connusco, convusco",cancilleresco,41.6294336,-4.2616986
CODEA-0116,1301,XIV,Ávila,Ávila,nin sanáremos que vos pechemos diez maravedís de la buena moneda cada día por pena e por postura que ponemos,"convusco,",fata que redremos e sanemos e toda vía que redremos e sanemos. E la pena pagada o non pagada que,"Connusco, convusco",particular,40.656685,-4.6812086
CODEA-0133,1350,XIV,Sevilla,Sevilla,eglesia que por cuanto vos di<x>o que era mía la dicha eglesia e mio padronadgo que las compañas que venían,combusco,"que lo quisieran matar e que lo mataran, si non que se <en>cerró en la sacrestanía de la dicha eglesia.","Connusco, convusco",cancilleresco,37.3890924,-5.9844588
CODEA-0137,1347,XIV,Cáceres,Trujillo,bos yo bendo o parte d'ella. Si non que bos peche en pena por pena e postura e paramiento que,convosco,pongo diez maravedis de la bona moneda cada día cuantos días pasaren del día que bos fuere demandada o embargada,"Connusco, convusco",particular,39.4595379,-5.8802356
CODEA-0150,1254,XIII,Burgos,Oña,renda ante que metades foz en las miesses fazétnoslo saber e nós embiaremos ý nuestro omne qui coja el fructu,"combusco,",e vós le daredes a comer e fielmientre sacada la semient partiremos por medio tan bien del pan como de,"Connusco, convusco",eclesiástico,42.7361613,-3.4117046
CODEA-0204,1521,XVI,Álava,Vitoria,"deservicio e induxistes y procurastes con otras ciudades, villas y lugares d'estos dichos nuestros reinos que se levantasen y juntasen",con vosotr<os>,"al mismo fin para cuyo efeto hezistes muchos ayuntamientos y congregaciones con intención de llevar adelante vuestro propósito, y","Con nosotros, con vosotros",cancilleresco,42.8591656,-2.6817918
CODEA-0204,1521,XVI,Álava,Vitoria,y por nuestros vissorreyes y governadores vos fuere mandado. Por ende que nos suplicávades y pedíades por merced que usando,con vosotros,de clemencia y piedad vos perdonásemos y remitiésemos la nuestra justicia cevil y criminal y cualesquier penas de muertes,"Con nosotros, con vosotros",cancilleresco,42.8591656,-2.6817918
CODEA-0277,1523,XVI,Valladolid,Valladolid,celebrar en la noble villa de Valladolid este presente año de mil e quinientos e veinte e tres años estando,con nós,en las dichas cortes algunos grandes y cavalleros y letrados del nuestro consejo nos fueron dadas ciertas peticiones e,"Con nós, con vós",cancilleresco,41.6294336,-4.2616986
CODEA-0286,1503,XVI,Madrid,Madrid,sus haziendas si nós en ello non mandásemos prover. Lo cual mandamos ver e platicar en el nuestro consejo e,con nós,consultado fue acordado que devíamos mandar moderar el precio del dicho pan generalmente en todas las partes de los,"Con nós, con vós",cancilleresco,40.4167754,-3.7037901
CODEA-0302,1544,XVI,Valladolid,Valladolid,e celebrar en la noble villa de Valladolid este presente año de mil e quinientos e cuarenta e cuatro estando,con nós,en las dichas cortes algunos grandes e cavalleros e letrados del nuestro consejo nos fueron dadas ciertas peticiones e,"Con nós, con vós",municipal,41.6294336,-4.2616986
CODEA-0307,1534,XVI,Madrid,Madrid,celebrar en la noble villa de Madrid este presente año de mil e quinientos y treinta y cuatro años estando,con nós,en las dichas cortes algunos grandes y cavalleros y letrados del nuestro consejo nos fueron dadas ciertas peticiones y,"Con nós, con vós",municipal,40.4167754,-3.7037901
CODEA-0356,1294,XIII,Valladolid,Valladolid,"otrosí cuando les facedes algunas preindas, que les levades los ganados a Dueñas e a otros logares fasta que cofechan",convusco,"por cuanto vós queredes e esto que gelo facedes maliciossamientre, sin raçón e sin derecho, e por esto que se","Connusco, convusco",cancilleresco,41.6294336,-4.2616986
CODEA-0393,1386,XIV,Madrid,Alcalá de Henares,"con los perlados e ricos omnes, e fijosdalgo e los de las órdenes de la nuestra tierra que eran ý",connusco,"e otrossí procuradores de todas las cibdades e villas e lugares de nuestro señorío, que mandamos llamar a las dichas","Connusco, convusco",cancilleresco,40.4819791,-3.3635421
CODEA-0403,1361,XIV,Sevilla,Sevilla,a estos sobredichos o a cualquier o a cualesquier d'ellos arrendáredes que nos pechedes en pena e por postura que,connusco,"ponedes cinquenta mill moravedís de la dicha moneda por nombre de interese e la pena pagada o non pagada que,","Connusco, convusco",eclesiástico,37.3890924,-5.9844588
CODEA-0403,1361,XIV,Sevilla,Sevilla,en cada año d'estos sobredichos que non dierdes que nos pechedes cinquenta moravedís de la dicha moneda por postura que,connusco,ponedes e los moravedís de la dicha pena e postura pagados o non pagados toda vía que seades tenudos de,"Connusco, convusco",eclesiástico,37.3890924,-5.9844588
CODEA-0403,1361,XIV,Sevilla,Sevilla,plazos con todas las posturas e cláusulas e condiciones que dichas son e en esta carta se contienen; e ponemos,convusco,de vos pagar los dichos moravedís a los dichos plazos e so la dicha pena e postura. E las lavores,"Connusco, convusco",eclesiástico,37.3890924,-5.9844588
CODEA-0403,1361,XIV,Sevilla,Sevilla,nós quisiéremos. E nós el dicho abad en boz e en nombre del dicho abad e convento de Valbuena ponemos,convusco,los dichos Joán Sánchez e Antona García de vos non tirar esta dicha renta nin alguna cosa d'ella en todo,"Connusco, convusco",eclesiástico,37.3890924,-5.9844588
CODEA-0403,1361,XIV,Sevilla,Sevilla,el dicho abad en boz e en nombre del dicho abad don Sancho e convento del dicho monesterio de Valbuena,convusco,los dichos Joán Sánchez e Antona García con todas las cláusulas e posturas e condiciones que dichas son e con,"Connusco, convusco",eclesiástico,37.3890924,-5.9844588
CODEA-0414,1461,XV,Salamanca,Alba de Tormes,por el poder que tengo del dicho prior e frailes dicho monesterio otorgo e conosco por esta carta que trueco,con vós,los dichos clérigos del dicho cabildo la dicha viña del dicho monesterio por la dicha vuestra viña de la,"Con nós, con vós",eclesiástico,41.8292226,-3.066972
CODEA-0414,1461,XV,Salamanca,Alba de Tormes,e menoscabos e intereses que al dicho monesterio e prior e frailes se recrecieren por pena e postura convencional que,con vós,ponemos. E la dicha pena pagada o non pagada todavía que lo tengamos e cumplamos en la manera que,"Con nós, con vós",eclesiástico,41.8292226,-3.066972
CODEA-0414,1461,XV,Salamanca,Alba de Tormes,de estar e fazer estar al dicho prior e frailes del dicho monesterio por este trueco e cambio que yo,con vosotros,fago de la dicha viña e que ellos mesmos lo otorgen segund que lo yo fago e otorgo por,"Con nosotros, con vosotros",eclesiástico,41.8292226,-3.066972
