ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0208,1185,XII,Palencia,s.l.,toda su heredad e en Menaza I solar con toda su heredad e la heredad de Pozacos e de Menaza,fasta,en Soma Concha. En estos logares dichos cuanto nós heredamos e devemos heredar vendemos e robramos ad vós abad don,fasta,eclesiástico,42.01246,-4.531175
CODEA-0209,1186,XII,Palencia,s.l.,"toda sua hereditad e en Menaza un solar con toda sua heredad, e la heredat de Pozacos e de Menaza",asta,en Somo Conia cuanto nós devemos heredar. Vendemos e robramos toda questa heredad por C e sesaenta moravedís e si,asta,eclesiástico,42.01246,-4.531175
CODEA-2171,1199,XII,Toledo,s.l.,"esto interrogavit don Didaco iudex Toleti, por vertad cuánto avié de las acenias de Micael Ferrero e de suos aparceros",fata,las acenias de Joán Pétriz de Sola Mertiras e de suos aparceros e cuando sopo la vertad viderunt en el,fata,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,Ferrero e dixieren: -Alzastes maes de la medida; vadant a la pesquera e midan del solo inter amas las canales,fata,el petril que es el cabo de la pesquera e si falaren maes alzado de como está la medida en,fata,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,es el cabo de la pesquera e si falaren maes alzado de como está la medida en la torre desátenlo,fata,VIIII días fata ó venga a la señal e medida que fizo el fidel en la torre. E si fata,fata,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,de la pesquera e si falaren maes alzado de como está la medida en la torre desátenlo fata VIIII días,fata,ó venga a la señal e medida que fizo el fidel en la torre. E si fata los IIII días,fata,eclesiástico,39.85678,-4.024476
CODEA-2171,1199,XII,Toledo,s.l.,fata VIIII días fata ó venga a la señal e medida que fizo el fidel en la torre. E si,fata,los IIII días non lo desataren cuantos días passaren tantas vezes pecten los herederos de las acenias de de Sola,fata,eclesiástico,39.85678,-4.024476
CODEA-0338,1208,XIII,Valladolid,s.l.,e en la solana faza la casa e desdend por Val de Viado assí cuemo vierten las aguas d'amas partes,fasta,en las cuevas e en las defesas desuso antiguas en los planos e en los valles que pascan e jagan,fasta,judicial,41.65295,-4.728388
CODEA-2169,1213,XIII,Toledo,s.l.,cabdal que les entren en las casas e que les prenden peños bivos e mortos sin alcalde e sin alguazil,fasta,"que sean pagados d'estos moravedís. Ego Gonzalvo carnicero, recebió est arrendamiento por sant Migael, e el compezamiento de la renda",fasta,eclesiástico,39.85678,-4.024476
CODEA-0242,1225,XIII,Palencia,s.l.,la cuarta que avemos en la tierra que yaz cab la pesquera de Vado Carrero partes de Frontada e exe,fata,la costa e entra en el río a los Cantos Arnazos de la presa per II moravedís e medio e,fata,eclesiástico,42.01246,-4.531175
