ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-0405,1162,XII,La Rioja,s.l.,"fuentes e con puentes, e con montes, e con aguas e con cuanto ý é del cielo a la tierra",para,vestiario ,քa,particular,42.46577,-2.449995
CODEA-0466,1206,XIII,Palencia,s.l.,e ex alia part Joanes Cebrián e en fondón el río que currit; e dámosvosla a vós covigero por heredad,para,"filios e para nietos e dámosvosla assí que vendades, e empeñedes e fagades assí cuemo de vuestro; e del molino",քa,particular,42.01246,-4.531175
CODEA-0466,1206,XIII,Palencia,s.l.,part Joanes Cebrián e en fondón el río que currit; e dámosvosla a vós covigero por heredad para filios e,para,"nietos e dámosvosla assí que vendades, e empeñedes e fagades assí cuemo de vuestro; e del molino de Ribiella el",քa,particular,42.01246,-4.531175
CODEA-0415,1235,XIII,León,Ponferrada,poder dela uender. & dela donar. & de fazer della lo q<ui>sierdes como de u<uest>ro h<er>edamiento. et esto sea en na uida asi como ena morte. Et yo don Pedro ponz ,por a,tal tal pleito uos dou estas arras. & uos uendo esta,քa,particular,42.5499958,-6.5982589
CODEA-0435,1244,XIII,Asturias,s.l.,"sua alma al monesterio e al abat e al conviento desuso dechos, e yo assí la dó e la outorgo",para,"sua alma al monesterio e al abat e al conviento desuso dechos toda éntrega, tan bien avolenga como compras, como",քa,eclesiástico,43.36026,-5.844759
CODEA-0455,1245,XIII,León,s.l.,años que non fizo fuero al monesterio e los almosneros sobieron como yera del monesterio e quitáronse d'él e dexáronle,para,los povres del ospital; e este solar iaz en logar pernombrado en las tenerías sobre la presa e aledaños de,քa,eclesiástico,42.59988,-5.571752
CODEA-1732,1252,XIII,Sevilla,Sevilla,orpel e argempel e que non trayades cascaveles en ninguna cosa sinon en sonages o en aves o en coberturas,para,bofordar; e que non fagades sen ales en las coberturas con cascaveles e que non pongades en escudo nenguna borla,քa,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,si no·l pudieren aver que peche C maravedís en coto; e que non se escuse porque diga que las fazié,para,omne d'otro regno; e si depués lo pudieren aver que·l corten el polgar. E las armas que son fechas que,քa,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,casare siquier con manceba en cabello o siquier con bibda que·l non den más de LX maravedís por pan os,para,"sus bodas e el que más dier d'esto que yo mando peche en coto L maravedís, los XX a mí,",քa,cancilleresco,37.3890924,-5.9844588
CODEA-1732,1252,XIII,Sevilla,Sevilla,o de la tierra e a mengua de mio sen orío si non por dar a comer a pobres o,para,"luminaria o para soterrar muertos o para confuertos, y esto que se coma en casa del muerto, e non para",քa,cancilleresco,37.3890924,-5.9844588
