ID,Fecha,Siglo,Provincia,Población,Cont_anterior,Forma,Cont_posterior,Variante,Ámbito,Latitud,Longitud
CODEA-2064,1372,XIV,Guadalajara,Molina de Aragón,finamiento que dexe las dichas casas para nós el dicho cabillo fechas e reparadas a vista de omnes buenos aunque,acaesca,d'ellas derribamiento o caimiento o otro cualquier acaecimiento o ocasión que vosotros vos paredes a ello salvo a fuego si,Tipo conosco,eclesiástico,40.346674,-1.8850569
CODEA-0011,1399,XIV,Guadalajara,"Nava Asensio, Matarrubia",otros muchos males e pérdidas e daños que podrían acaecer sobre la dicha razón lo que Dios non quiera que,"acaesca,",entre los vezinos de la dicha Guadalfajara e Moherrando e de las aldeas de sus términos sobre razón de los,Tipo conosco,municipal,40.868333,-3.290833
CODEA-0393,1386,XIV,Madrid,Alcalá de Henares,bien e el día señalado será el lunes e cuando este día non nos pudiéremos asentar por algún embargo que,"acaesca,",asentarnos emos otro día de la semana en emienda d'este. A lo que nos pidieron merced que los arrendadores e,Tipo conosco,cancilleresco,40.4819791,-3.3635421
CODEA-0330,1284,XIII,Valladolid,Dueñas,que por nós faredes e que fagades otro añiversario por ella e por nós cada año por siempre e que,acrescades,en la pitança de la Cuaresma e el día del añiversario setenta moravedís por razón de los mil moravedís que,Tipo conosco,eclesiástico,41.3264834,-4.9964712
CODEA-1947,1690,XVII,Alicante,s.l.,suplicándole se los remunere a vuestras reverencias con eternos bienes y temporales dichas para su mayor honra y gloria. También,agradesco,a vuestras reverencias el cuidado con que an atendido para la aprovasión del dote de Sor Elena Peres y creo,Tipo conosco,particular,38.3452,-0.481006
CODEA-3011,1857,XIX,Sevilla,Écija,Magestad aga que ya esté V. perfectísimamente bueno con Micaela y niños a quienes dirá V. mil cosas mías. Le,agradesco,"a V. infinito sus ofertas pero aora está mi niña bregando con la dentisión y se á puesto desemejadísima, lo",Tipo conosco,particular,37.5414656,-5.0826741
CODEA-3032,1771,XVIII,Madrid,Aranjuez,"5 del corriente. Zelebro saber por ella el buen estado de tu salud de tus hijos y nietos, a quienes",agradesco,la expresión que me azes a nombre de todos y correspondo con el más fino afecto; yo he buelto de,Tipo conosco,particular,40.03209,-3.603288
CODEA-3040,1760,XVIII,Granada,Granada,"ci-ento y cincuenta mil reales que los buscó para armar la plaza, por averse echo cargo de todo. Manda cuanto",apetescas,"seguro de mi verdadero afecto con el que pido a Dios te guarde muchos años. Granada, 30 de septiembre de",Tipo conosco,particular,37.1773363,-3.598557
CODEA-0725,1479,XV,Cantabria,Monasterio de Santo Toribio de Liébana,"monesterio de Santo Toribio de Liévana con acuerdo e consejo de los monjes e convento del dicho monesterio, otorgo e",cognosco,"que dó a vós Alonso fijo de María Varó, vezino de Torieno, un solar que dizen de don Gregorio, que",Tipo conosco,eclesiástico,43.150333,-4.654339
CODEA-0725,1479,XV,Cantabria,Monasterio de Santo Toribio de Liébana,el dicho monesterio sin aver para ello mandamiento de juez nin de alcalde. E yo el dicho Alonso otorgo e,cognosco,"que recibí de vós el dicho prior e monjes e convento el dicho solar e préstamos con las dichas condiciones,",Tipo conosco,eclesiástico,43.150333,-4.654339
